,excercise_name,utility,mechanics,force,preparation,execution,comments,target_muscles,synergist_muscles,stabalizer_muscles,dynamic_stabilizer_muscles
0,Machine-assisted Triceps Dip,['Basic'],['Compound'],['Push'],"Mount shoulder width dip bar, arms straight with shoulders above hands. Step down onto assistance lever. Keep hips and knees straight.",Lower body until slight stretch is felt in shoulders. Push body up until arms are straight. Repeat.,See mount and dismount. Some assisted machines require you to kneel on pad. Also see Assisted Chest Dip.,['Triceps Brachii'],"['Deltoid, Anterior', 'Pectoralis Major, Sternal', 'Pectoralis Major, Clavicular', 'Pectoralis Minor', 'Rhomboids', 'Levator Scapulae', 'Latissimus Dorsi']","['Trapezius, Lower']",[]
1,Machine-assisted Triceps Dip (kneeling),['Basic'],['Compound'],['Push'],"Mount shoulder width dip bar, arms straight with shoulders above hands. Kneel on padded platform, lowering it down slightly so hips are slightly bent.",Lower body until slight stretch is felt in shoulders. Push body up until arms are straight. Repeat.,See mount and dismount. Some assisted machines require you to stand on bar. Also see Assisted Chest Dip.,['Triceps Brachii'],"['Deltoid, Anterior', 'Pectoralis Major, Sternal', 'Pectoralis Major, Clavicular', 'Pectoralis Minor', 'Rhomboids', 'Levator Scapulae', 'Latissimus Dorsi']","['Trapezius, Lower']",[]
2,Barbell Close Grip Bench Press,['Basic'],['Compound'],['Push'],Lie on bench and grasp barbell from rack with shoulder width grip.,Lower weight to chest with elbows close to body. Push barbell back up until arms are straight. Repeat.,"Grip can be slightly narrower than shoulder width but not too close. Too close of grip can decrease range of motion, may tend to hyper-adduct wrist joint, and unnecessarily decrease stability of bar. Also see Bench Press Analysis.",['Triceps Brachii'],"['Deltoid, Anterior', 'Pectoralis Major, Sternal', 'Pectoralis Major, Clavicular']",[],[]
3,Barbell Close Grip Incline Bench Press,"['Basic', 'Auxiliary']",['Compound'],['Push'],Lie on bench with bar above chest. Grasp bar from rack with shoulder width or slightly narrower grip. Disengage bar by rotating bar back.,Lower weight to chest with elbows close to body. Push barbell up until arms are straight. Repeat.,Grip can be slightly narrower than shoulder width but not too close. Also see Bench Press Analysis.,['Triceps Brachii'],"['Deltoid, Anterior', 'Pectoralis Major, Clavicular']",[],[]
4,Barbell JM Bench Press,['Basic'],['Compound'],['Push'],Lie on bench with back flat on bench and grasp barbell from rack with shoulder width or slightly narrower grip.,"Lower in straight line toward neck while keeping elbows relatively high and bending them out to sides, approximately 45° from midline of body. Flex wrists slightly as bar is lowered as to keep weight of bar on base of palms. Pause when forearms mak e solid contact with biceps. Push barbell back up until arms are straight. Repeat.","Movement is hybrid between Bench Press and Triceps Extension. A false grip or standard thumb opposing grip can be taken, approximately 16"" (40 cm) apart for men. Bar is brought downward anywhere between chin and upper chest. As to minimize shoulder involvement, keep elbows up, allowing elbow to fold upon itself. Range of motion is determined by muscle mass of forearm and biceps. After mastering form and gradually progressing in resistance, push barbell upward more rapidly for greater power development.",['Triceps Brachii'],"['Deltoid, Anterior', 'Pectoralis Major, Sternal', 'Pectoralis Major, Clavicular']",['Wrist Flexors'],[]
5,Barbell Lying Triceps Extension,['Basic'],['Isolated'],['Push'],Lie on bench with narrow overhand grip on barbell. Position barbell over forehead with arms extended.,"Lower bar by bending elbows. As bar nears head, move elbows slightly back just enough to allow bar to clear around curvature of head. Extend arms. As bar clears head, reposition elbows to their former position until arms are fully extended. Repeat.","With arms fully extended, bar can be brought back over upper chest. Shoulders can be internally rotated between repetitions as needed to allow for relative release of tension in muscles. Barbell can be received from the floor or from rack either situated over abdomen or from behind head. Exercise can also be performed with straight barbell. Movement with cambared bar as shown above is also known as EZ Barbell or EZ Bar Lying Triceps Extension.",['Triceps Brachii'],['None'],"['Deltoid, Anterior', 'Pectoralis Major, Clavicular', 'Pectoralis Major, Sternal', 'Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Wrist Flexors']",[]
6,Barbell Decline Triceps Extension,['Basic'],['Isolated'],['Push'],Lie on decline bench with narrow overhand grip on barbell. Position barbell over shoulders with arms extended.,"Lower bar by bending elbows. As bar nears head, move elbows slightly back just enough to allow bar to clear around curvature of head. Extend arms. As bar clears head, reposition elbows to its former position until arms are fully extended. Repeat.","With arms fully extended, bar can be brought back over shoulders. Shoulders can be internally rotated between repetitions as needed to allow for relative release of tension in muscles. Either straight barbell or EZ barbell can be used.",['Triceps Brachii'],['None'],"['Deltoid, Anterior', 'Pectoralis Major, Sternal', 'Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Wrist Flexors']",[]
7,Barbell Incline Triceps Extension,['Basic'],['Isolated'],['Push'],Lie on slightly incline bench with narrow overhand grip on barbell. Position barbell over shoulders with arms extended.,"Lower bar by bending elbows. As bar nears head, move elbows slightly back just enough to allow bar to clear around curvature of head. Extend arms. As bar clears head, reposition elbows to their former position until arms are fully extended. Repeat.","With arms fully extended, bar can be brought back over shoulders. Shoulders can be internally rotated between repetitions as needed to allow for relative release of tension in muscles. Either straight barbell or EZ barbell can be used. See exercise performed seated on incline bench with shorter back.",['Triceps Brachii'],['None'],"['Deltoid, Anterior', 'Pectoralis Major, Clavicular', 'Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Wrist Flexors']",[]
8,"Barbell Lying Triceps Extension ""Skull Crusher""",['Basic'],['Isolated'],['Push'],Lie on bench with narrow overhand grip on barbell. Position barbell over shoulders with arms extended.,Lower bar to forehead by bending elbows. Extend arms and repeat.,"Slow barbell's descent as it approaches forehead. Exercise can also be performed with elbow traveling slightly back during extension. With this altered form, barbell essentially moves in straight line, up and down, over forehead. Either straight barbell or EZ barbell can be used. See Lying Triceps Extension Bench with rack.",['Triceps Brachii'],['None'],"['Deltoid, Anterior', 'Pectoralis Major, Clavicular', 'Pectoralis Major, Sternal', 'Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Wrist Flexors']",[]
9,Barbell Triceps Extension,"['Basic', 'Auxiliary']",['Isolated'],['Push'],Sit on utility weight bench with barbell. Position barbell overhead with narrow overhand grip.,Lower barbell behind upper shoulders by flexing elbows allowing forearms to travel behind upper arms with elbows remaining overhead. Raise barbell overhead by extending elbows until arms are positioned straight and vertical. Lower and repeat.,Let barbell pull arm back to maintain full shoulder flexion. Exercise may be performed standing or on seat with or without back support. Either straight barbell or EZ barbell can be used.,['Triceps Brachii'],['None'],"['Deltoid, Anterior', 'Pectoralis Major, Clavicular', 'Wrist Flexors']",[]
10,Barbell Reclined Triceps Extension,"['Basic', 'Auxiliary']",['Isolated'],['Push'],Sit on incline bench angled at 70° to 80° with barbell. Position barbell overhead with narrow overhand grip.,Lower barbell behind neck by flexing elbows allowing forearms to travel behind upper arms with elbows remaining overhead. Raise barbell overhead by extending elbows until arms are positioned straight and vertical. Lower and repeat.,Reclined position can be used instead of standard form for those who lack ability to fully flex shoulder. Bench inclined 70° to 80° is equivalent to reclined upright position 10° to 20° from vertical. Keep elbows pointed upward. Either straight barbell or EZ barbell can be used.,['Triceps Brachii'],['None'],"['Deltoid, Anterior', 'Pectoralis Major, Clavicular', 'Wrist Flexors']",[]
11,Cable Bent-over Triceps Extension,"['Basic', 'Auxiliary']",['Isolated'],['Push'],"Grasp cable bar from medium high pulley with narrow or shoulder width overhand grip. Turn body away from pulley apparatus and position turned cable bar behind neck. Bend over downward with cable bar positioned behind neck, gripped at each side. Lunge forward with one leg. Allow elbows to be pulled back under cable resistance.",Extend forearms forward until elbows are straight. Allow cable bar to return back over neck. Repeat.,"Let cable resistance pull arm back to maintain degree of shoulder flexion, dependent upon flexibility.",['Triceps Brachii'],['None'],"['Deltoid, Anterior', 'Pectoralis Major, Clavicular', 'Wrist Flexors', 'Rectus Abdominis', 'Obliques']",[]
12,Cable Bar Bent-over Triceps Extension,"['Basic', 'Auxiliary']",['Isolated'],['Push'],Stand facing outward behind cable bar and pulleys. Grasp cable bar from medium high pulley with narrow or shoulder width overhand grip. Push cable bar down to straighten arms. Lunge forward and bend over with arms positioned straight forward. Allow bar to be pulled back over neck under resistance of weight while keeping elbows pointed forward.,Extend forearms forward until elbows are straight. Allow cable bar to return back over neck. Repeat.,"Let cable resistance pull arms back to maintain degree of shoulder flexion, dependent upon flexibility.",['Triceps Brachii'],['None'],"['Deltoid, Anterior', 'Pectoralis Major, Clavicular', 'Wrist Flexors', 'Rectus Abdominis', 'Obliques']",[]
13,Cable Bent-over Triceps Extension (with rope attachment),"['Basic', 'Auxiliary']",['Isolated'],['Push'],Grasp rope attachment from medium high pulley. Turn body away from pulley apparatus and position turned rope attachment behind neck. Bend over downward with rope attachment positioned behind neck gripped at each side. Lunge forward with one leg. Allow elbows to be pulled back under cable resistance.,Extend forearms forward until elbows are straight. Allow cable bar to return back over neck. Repeat.,"Let cable resistance pull arm back to maintain degree of shoulder flexion, dependent upon flexibility.",['Triceps Brachii'],['None'],"['Deltoid, Anterior', 'Pectoralis Major, Clavicular', 'Extensor Carpi Ulnaris', 'Flexor Carpi Ulnaris', 'Rectus Abdominis', 'Obliques']",[]
14,Cable Forward Triceps Extension,['Auxiliary'],['Isolated'],['Push'],Grasp stirrup from medium high pulley. Turn body away from pulley apparatus and position stirrup over shoulder with palms down. Step forward with one foot so cable is taut. Position elbow forward about shoulder height.,Push stirrup forward by extending forearm until elbow is straight. Allow stirrup to return back over shoulder. Repeat and repeat. Continue with opposite arm.,Keep elbow approximately same position throughout movement.,['Triceps Brachii'],['None'],"['Latissimus Dorsi', 'Teres Major', 'Serratus Anterior', 'Deltoid, Posterior', 'Pectoralis Major, Clavicular', 'Pectoralis Minor', 'Obliques', 'Rectus Abdominis', 'Wrist Extensors']",[]
15,Cable Incline Triceps Extension,['Basic'],['Isolated'],['Push'],Grasp cable bar from behind with narrow overhand grip. Position elbows overhead.,Extend forearm overhead until elbows are straight. Lower until forearms are against upper arms. Repeat.,"Avoid using shoulders by attempting to press bar over head. If incline is designed to pivot back, lean seat back for mount & dismount.",['Triceps Brachii'],['None'],"['Deltoid, Anterior', 'Pectoralis Major, Clavicular', 'Pectoralis Major, Sternal', 'Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Wrist Flexors']",[]
16,Cable Kneeling Triceps Extension,"['Basic', 'Auxiliary']",['Isolated'],['Push'],"Grasp cable bar from middle pulley with narrow or shoulder width overhand grip. Turn body away from pulley apparatus with cable bar above head. Kneel before bench, bend over and place elbows on edge of bench. Maintain upper arms parallel with shoulders as low as possible.",Extend forearms over head until elbow are fully extended. Return and repeat.,Let cable attachment pull arm back to maintain full shoulder flexion.,['Triceps Brachii'],['None'],['Wrist Flexors'],[]
17,Cable Lying Triceps Extension,['Basic'],['Isolated'],['Push'],"Lie on bench and grasp bar with narrow overhand grip. With arms extended, position bar over face.","Lower bar by bending elbow. As bar nears head, move elbows slightly back just enough to allow bar to clear around curvature of head. Extend arm. As bar clears head, reposition elbows to its former position until arm is fully extended. Repeat.","Bar may be propped up with one end leaning against head of bench to allow easier access. With arms fully extended, shoulders can be internally rotated between repetitions as needed to allow for relative release of tension in muscles.",['Triceps Brachii'],['None'],"['Deltoid, Anterior', 'Pectoralis Major, Clavicular', 'Pectoralis Major, Sternal', 'Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Wrist Flexors']",[]
