,excercise_name,utility,mechanics,force,preparation,execution,comments,target_muscles,synergist_muscles,stabalizer_muscles,dynamic_stabilizer_muscles
0,Barbell Bent-over Row,['Basic'],['Compound'],['Pull'],Bend knees slightly and bend over bar with back straight. Grasp bar with wide overhand grip.,Pull bar to upper waist. Return until arms are extended and shoulders are stretched downward. Repeat.,"Torso may be kept horizontal for strict execution. Knees are bent in effort to keep low back straight (See Hamstring Inflexibility). If low back becomes rounded due to tight hamstrings, either try bending knees more or don't position torso as low. Either fix may compromise involvement of Latissimus Dorsi since it forces more shoulder transverse extension and less shoulder extension range of motion. If low back is rounded due to poor form, deadlift weight to standing position and lower torso into horizontal position with knees bent and back straight. A shoulder width or underhand grip can increase lat involvement by emphasizing shoulder extension over transverse extension. A wide overhand grip involves overall back musculature while slightly emphasizing Rear Delt, Infraspinatus and Teres Minor involvement. Also known as Pendlay Row.","['Back, General']","['Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids', 'Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Infraspinatus', 'Teres Minor', 'Brachialis', 'Brachioradialis', 'Pectoralis Major, Sternal']","['Erector Spinae', 'Hamstrings', 'Gluteus Maximus', 'Adductor Magnus', 'Quadriceps']",[]
1,Barbell Close Grip Bent-over Row,"['Basic', 'Auxiliary']",['Compound'],['Pull'],Bend knees slightly and bend over bar with back straight. Grasp bar with shoulder width overhand grip.,Pull bar to waist. Return until arms are extended and shoulders are stretched forward. Repeat.,"Torso may be kept horizontal for strict execution. Knees are bent in effort to keep low back straight (See Hamstring Inflexibility). If low back becomes rounded due to tight hamstrings, either try bending knees more or don't position torso as low. Either fix may compromise involvement of Latissimus Dorsi since it forces more shoulder transverse extension and less shoulder extension range of motion. If low back is rounded due to poor form, deadlift weight to standing position and lower torso into horizontal position with knees bent and back straight. A shoulder width or underhand grip can increase lat involvement by emphasizing shoulder extension over transverse extension.","['Back, General']","['Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids', 'Infraspinatus', 'Teres Minor', 'Brachialis', 'Brachioradialis', 'Pectoralis Major, Sternal']","['Erector Spinae', 'Hamstrings', 'Gluteus Maximus', 'Adductor Magnus', 'Quadriceps']",[]
2,Barbell Underhand Bent-over Row,"['Basic', 'Auxiliary']",['Compound'],['Pull'],Bend knees slightly and bend over bar with back straight. Grasp bar with underhand grip.,Pull bar to waist. Return until arms are extended and shoulders are stretched downward. Repeat.,"Torso may be kept horizontal for strict execution. Knees are bent in effort to keep low back straight (See Hamstring Inflexibility). If low back becomes rounded due to tight hamstrings, either try bending knees more or don't position torso as low. Either fix may compromise involvement of Latissimus Dorsi since it forces more shoulder transverse extension and less shoulder extension range of motion. If low back is rounded due to poor form, deadlift weight to standing position and lower torso into horizontal position with knees bent and back straight. A shoulder width or underhand grip can increase lat involvement by emphasizing shoulder extension over transverse extension.","['Back, General']","['Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids', 'Infraspinatus', 'Teres Minor', 'Brachialis', 'Brachioradialis', 'Pectoralis Major, Sternal']","['Erector Spinae', 'Hamstrings', 'Gluteus Maximus', 'Adductor Magnus', 'Quadriceps']",[]
3,Cambered Barbell Lying Row,['Basic'],['Compound'],['Pull'],Lie chest down on elevated bench. Grasp cambered barbell below with overhand grip.,Pull bar to upper waist or lower chest. Return until arms are extended and shoulders are stretched downward. Repeat.,Bench should be high enough to allow shoulders to stretch forward without barbell hitting floor.,"['Back, General']","['Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids', 'Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Infraspinatus', 'Teres Minor', 'Brachialis', 'Brachioradialis', 'Pectoralis Major, Sternal']",[],[]
4,Cable Incline Row,"['Basic', 'Auxiliary']",['Compound'],['Pull'],"Sit on incline and place feet on lower bar, or foot platform. Slide hips down by bending knees. Bend over and grasp cable attachment. Slide hips back, positioning knees with slight bend.","Pull cable attachment to waist while straightening back upright. Pull shoulders back and push chest forward while arching back. Return until arms are extended, shoulders are stretched forward, and lower back is flexed forward. Repeat.",Begin with light weight and add additional weight gradually to allow lower back adequate adaptation. Do not pause or bounce at bottom of lift. Do not lower weight beyond mild stretch. Full range of motion through lower back will vary from person to person. See Cable Seated Row Question. Also see Cable Straight Back Incline Row and Dangerous Exercise Essay.,"['Back, General']","['Erector Spinae', 'Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids', 'Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Infraspinatus', 'Teres Minor', 'Brachialis', 'Brachioradialis', 'Pectoralis Major, Sternal']","['Hamstrings', 'Gluteus Maximus', 'Adductor Magnus']",[]
5,Cable Straight Back Incline Row,"['Basic', 'Auxiliary']",['Compound'],['Pull'],"Sit on incline and place feet on lower bar, or foot platform. Slide hips down by bending knees. Bend over and grasp cable attachment. Slide hips back, positioning knees with slight bend. Straighten lower back so it is approximately perpendicular to incline.","Pull cable attachment to waist. Pull shoulders back and lift chest by arching back. Return until arms are extended, back is straight and perpendicular to incline, and shoulders are stretched forward. Repeat.",Also see Cable Incline Row.,"['Back, General']","['Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids', 'Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Infraspinatus', 'Teres Minor', 'Brachialis', 'Brachioradialis', 'Pectoralis Major, Sternal']","['Erector Spinae', 'Hamstrings', 'Gluteus Maximus', 'Adductor Magnus']",[]
6,Cable Kneeling Row,"['Basic', 'Auxiliary']",['Compound'],['Pull'],Place right knee on lower pad (positioned to right side) with foot of other leg slightly back out to side and knee slightly bent. Place right forearm on right side of upper pad and grasp handle. Grasp cable stirrup below with left hand. Allow left shoulder to be pulled forward without spinal rotation.,Pull stirrup up to side until elbow travels beyond surface of back. Return until arm is extended and shoulder is stretched downward. Repeat and continue with opposite side.,"Allow scapula to articulate, but do not rotate torso.","['Back, General']","['Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids', 'Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Infraspinatus', 'Teres Minor', 'Brachialis', 'Brachioradialis', 'Pectoralis Major, Sternal']",[],[]
7,Cable Lying Row,"['Basic', 'Auxiliary']",['Compound'],['Pull'],Straddle head of bench and grasp stirrups on two high pulley cables. Lie on bench with stirrups in each hand and arms extended upward.,Pull stirrups down to each side of chest until elbows are behind back and shoulders are pulled back. Return until arms are extended and shoulders are stretched upward. Repeat.,"Pulleys should not be too far apart, as they are on standard cable crossover machines. Stirrups on pulleys should be high enough to allow shoulders to stretch forward when arms extend. Pull shoulder blades together when completing pull. Other rowing exercises should be considered if resistance required begins to exceed upper body weight since back will begin to raise up off of bench.","['Back, General']","['Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids', 'Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Infraspinatus', 'Teres Minor', 'Brachialis', 'Brachioradialis', 'Pectoralis Major, Sternal']",[],[]
8,Cable One Arm Bent-over Row,['Auxiliary'],['Compound'],['Pull'],"Grasp cable stirrup. Step back away from pulley, with foot on same side as exercising arm, positioned out to side well behind forward foot. Bend over with hand on nearby bar or above knee for support. Keep back straight and knees slightly bent. Allow shoulder with stirrup to be pulled forward.","Pull cable attachment to side of torso, pulling shoulder back. Return until arm is extended and shoulder is stretched forward. Repeat. Continue with opposite arm.","Supporting hand can also be placed on nearby bar, available on some pulley machines. Hamstrings and Gluteus Maximus stabilize near top of movement on forward leg.","['Back, General']","['Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids', 'Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Infraspinatus', 'Teres Minor', 'Brachialis', 'Brachioradialis', 'Pectoralis Major, Sternal']","['Obliques', 'Hamstrings', 'Gluteus Maximus', 'Triceps (Supporting Arm)']",[]
9,Cable One Arm Seated Row,"['Basic', 'Auxiliary']",['Compound'],['Pull'],Sit slightly forward on platform or secured bench in order to grasp cable stirrup with one hand. Position hips back with knees slightly bent . Allow shoulder with stirrup to be pulled forward.,"Pull cable attachment to side of torso, slightly twisting through waist. Pull shoulder back and push chest forward during contraction. Return until arm is extended and shoulder is stretched forward. Repeat. Continue with opposite arm.","It is optional to bend lower back forward during stretch and pull it upright during contraction. If low back is kept still, Erector Spinae acts as synergist muscle. Also see Cable One Arm Twisting Seated Row.","['Back, General']","['Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids', 'Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Infraspinatus', 'Teres Minor', 'Brachialis', 'Brachioradialis', 'Pectoralis Major, Sternal', 'Erector Spinae']","['Obliques', 'Hamstrings', 'Gluteus Maximus', 'Adductor Magnus']",[]
