,excercise_name,utility,mechanics,force,preparation,execution,comments,dynamic_articulation,static_articulation
0,Jog,[],[],[],"Lean forward with staggered stance, left leg bent forward and right leg extended back. Bend arms to sides of body.","['Extend left foot as left hip and knee terminate extension propelling body forward as both feet are no longer in contact with ground. Begin to swing left arm back and right arm forward. Continue to extend right knee in preparation for initial landing while raising left heel toward buttock. Right foot makes contact with ground, then right knee bends as it quickly travels underneath body.', 'Repeat jogging pattern with opposite leg, alternating between sides. Continue jogging at comfortable pace until specific distance is covered or prescribed time has elapsed.']","Jogging involves traveling at a pace of less than 6 mph (~10 kmph), while running involves anything faster than 6 mph (~10 kmph). Body leans forward during initial take-off stride. Afterwhich, keep body and head more upright throughout jog.","['Hip (Extension)', 'Spine (Rotation)', 'Hip (Flexion)', 'Knee (Extension)', 'Ankle (Plantar Flexion)', 'Foot (Plantar Flexion)']","['Hip (Abduction)', 'Spine (Lateral Flexion)', 'Ankle (eccentric) (Dorsal Flexion)']"
1,Run,[],[],[],"Lean forward with staggered stance, left leg bent forward and right leg and hips slightly bent behind body. Position right arm slightly forward and left arm back to sides of body. ","['Swing right knee forward while left leg extends back and remains in contact with ground. In unison to leg movement, swing left bent arm forward and right bent arm back. Extend right leg forward as left heal rises off ground. Extend left foot as left hip and knee terminate extension propelling body forward as both feet are no longer in contact with ground. Begin to swing left arm back and right arm forward. Continue to extend right knee in preparation for initial landing while raising left heel toward buttock. As right foot makes contact with ground continue to pull left heel toward buttock. Allow right knee to bend as it quickly travels underneath body. As left knee begins to be pulled forward, left arm continues to travel back behind body while right arm continues to swing forward. Repeat running pattern with movements on opposite sides, alternating between sides. Continue running until specific distance is covered or prescribed time has elapsed.']","Running involves running faster than 6 mph (~10 kmph) whereas jogging involves traveling at a pace of less than 6 mph (~10 kmph). Also see Sprinting, a more powerful and faster form of running performed in short bouts.","['Hip (Extension)', 'Spine (Rotation)', 'Hip (Flexion)', 'Knee (Extension)', 'Ankle (Plantar Flexion)', 'Foot (Plantar Flexion)']","['Hip (Abduction)', 'Spine (Lateral Flexion)', 'Ankle (eccentric) (Dorsal Flexion)']"
2,Sprint,[],[],[],"Lean forward with staggered stance, left leg bent forward and right leg and hips slightly bent behind body. Extend left arm back alongside body and bend right arm under shoulder. Push off explosively with both legs.","['Swing right knee forward quickly while left leg extends and remains in contact with ground. In unison to leg movement, swing left bent arm forward while swinging right bent arm back. Continue to pull right knee forward and upward while driving left leg back so extended left leg and torso form straight line angled forward approximately 45°.', 'Extend left foot as left hip and knee terminate extension propelling body forward as both feet are no longer in contact with ground. Begin to swing left arm back and right arm forward. Also extend right leg in preparation for initial landing while beginning to pull left heel toward buttock. Right foot makes initial contact with ground on outside edge ball of foot. As weight of body is transferred to ball of foot, continue to pull left heel toward buttock. Right foot quickly travels underneath body with supporting knee slightly bent. As left knee begins to be pulled forward, left arm continues to travel back behind body while right arm continues to swing forward.', 'Repeat sprinting pattern with movements on opposite sides, alternating between sides. Extend length and speed of each stride and increasing angle of body to ground. Use more upright running gait once top speed is reached (typically 50-60 meters for women and 60-70 meters for men). During this time, keep body upright with head up, arms to sides, and hands relaxed. Maintain long but comfortable stride length. Continue until specific distance is covered or prescribed time has elapsed.']","Sprinting is a more powerful and faster form of running that can only be performed in short bouts, 400m or below. Sprinting on balls of feet, as opposed to toes, creates maximum push-off on ground and forward acceleration. During the acceleration phase, keep foot’s point of contact slightly behind center of mass.","['Hip (Extension)', 'Spine (Rotation)', 'Hip (Flexion)', 'Knee (Extension)', 'Ankle (Plantar Flexion)', 'Foot (Plantar Flexion)']","['Hip (Abduction)', 'Spine (Lateral Flexion)', 'Ankle (eccentric during deceleration) (Dorsal Flexion)']"
3,Burpee,[],[],[],Stand upright with arms to sides.,"['Bend over and squat down. Place hands on floor, slightly wider than shoulder width. While holding upper body in place, buck hips ups slightly by extending knees and hips, then immediately kick legs back. Land on forefeet with body in straight, plank position. Keeping upper body in place buck hip up and rapidly pull legs forward under body returning feet in original position. Rise up to original standing posture.']",Intensity can be increased by executing exercises faster. Phases include:,"['Knee (Flexion (pull in))', 'Hip (Flexion (2nd buck & pull in))', 'Ankle (Plantar Flexion (1st buck))', 'Spine (Thoracic, Lumbar) (Extension (kick back))', 'Spine (Thoracic, Lumbar) (Flexion (pull in))', 'Knee (Extension (1st buck))', 'Hip (Extension (1st buck & kick back))']","['Spine (Thoracic, Lumbar) (Flexion (plank))', 'Scapula & Clavicle (Protraction)', 'Shoulder (Transverse Flexion)', 'Elbow (Extension)']"
4,Burpee (advanced),[],[],[],Stand upright with arms to sides.,"['Bend over and squat down. Place hands on floor, slightly wider than shoulder-width. While holding upper body in place, buck hips ups slightly by extending knees and hips, then immediately kick legs back. Land on forefeet with body in straight, plank position.', 'Perform push-up by lowering body to floor by bending arms to sides. Push body back up by extending arms while maintaining straight body position.', 'Keeping upper body in place buck hip up and rapidly pull legs forward under body returning feet in original position. Jump upward and land to original standing posture or repeat.']","Intensity can be increased by executing exercise faster, jumping higher, or executing clap pushup immediately before standard pushup.","['Knee (Flexion (pull in))', 'Elbow (Extension (push-up))', 'Shoulder (Transverse Flexion / Flexion (push-up))', 'Hip (Extension (1st buck & kickback))', 'Hip (Flexion (2nd buck & pull in))', 'Ankle (Plantar Flexion (1st buck))', 'Spine (Thoracic, Lumbar) (Extension (kick back))', 'Spine (Thoracic, Lumbar) (Flexion (pull in))', 'Scapula and Clavicle (Protraction (push-up))', 'Knee (Extension (1st buck))']","['Spine (Thoracic, Lumbar) (Flexion (plank))', 'Spine (Thoracic, Lumbar) (Extension (squat stand))', 'Knee (Extension (plank))', 'Scapula and Clavicle (Protraction (kick back & pull in))', 'Shoulder (Transverse Flexion / Flexion (kick back & pull in))', 'Elbow (Extension (kick back & pull in))']"
5,Burpee Push-up,['Plyometric'],['Compound'],['Push'],"Stand with feet shoulder width or slightly wider apart. Squat down until knees are about 90° and bend over until torso is bent over, not quite to horizontal. Position bent arms just below head.","['Lean forward and take short dive to floor while kicking legs back behind body. Catch body by placing hands on floor shoulder width or slightly wider. Forefeet support lower body. Lower body to floor by bending arms while keeping body straight. Quickly reverse direction by raising body, again keeping body straight momentarily. Buck hips up and rapidly pull leg forward so feet land on floor under midsection while pulling hands up off of floor so body ends up in original bent-over squatting position. Repeat movement.']","During dive, Knees, Hips and Spine extend. However knees passive extends through eccentric contraction of knee flexors. In plank or push-up position, while body is kept straight momentarily, spine is statically flexed and knees are statically extended. Hips flex to buck hips upward. Legs are pulled in under body by flexion of Spine, Hips, and Knees. Static extension occurs through Spine, Hip, and Knees when feet are planted on floor while legs momentarily support weight of body. Also known as Drop Push-ups.","['Spine (Thoracic, Lumbar) (Extension (dive))', 'Shoulder (Transverse Flexion / Flexion)', 'Ankle (Dorsal Flexion (pull in))', 'Scapula and Clavicle (Protraction)', 'Elbow (Extension)', 'Spine (Thoracic, Lumbar) (Flexion (pull in))', 'Hip (Flexion (pull in))', 'Hip (Extension (dive))']","['Spine (Thoracic, Lumbar) (Flexion (plank))', 'Spine (Thoracic, Lumbar) (Extension (squat stand))', 'Hip (Extension (squat stand))', 'Knee (Extension (plank & squat stand))', 'Ankle (Plantar Flexion (squat stand))']"
6,Jumping Jack,[],[],[],"Stand with feet together, knees slightly bent, and arms to sides.",['Jump while raising arms and separating legs to sides. Land on forefoot with legs apart and arms overhead. Jump again while lower arms and returning legs to midline. Land on forefoot with arms and legs in original position and repeat.'],Intensity can be increased by jumping faster.,"['Hip (Adduction)', 'Hip (Extension)', 'Hip (Flexion)', 'Shoulder (Adduction)', 'Hip (Abduction)', 'Knee (Extension)', 'Ankle (Plantar Flexion)', 'Shoulder (Abduction)']",[]
7,Mountain Climber,[],[],[],"Place hands on floor, slightly wider than shoulder width. On forefeet, position one leg forward bent underbody and extend other leg back.","['While holding upper body in place, alternate leg positions by pushing hips up while immediately extending forward leg back and pulling rear leg forward underbody, landing on both forefeet simultaneously.']",Intensity can be increased by stepping faster.,"['Hip (Extension)', 'Spine (Rotation)', 'Hip (Flexion)', 'Knee (Extension)', 'Ankle (Plantar Flexion)']","['Scapula & Clavicle (Protraction)', 'Shoulder (Transverse Flexion)', 'Elbow (Extension)']"
8,Side Lunge,[],[],[],Stand facing 90° to left with right side in direction of intended path.,"['Step out with right leg toward direction of intended path. Lunge down by flexing right knee and hip while bending torso forward and extending arms forward. Stand and lunge to left side in same manner. Stand up and turn 90° to right toward intended path and take one step with left leg. Swing right leg forward and pivot body back 90° to original orientation by pivoting on left forefoot. Planting right foot away out toward direction of intended path. Continue pattern of stretching to both sides, rotating, stepping forward, rotating back in position. Repeat until marked distance is covered, specified time has elapsed, or set number of repetitions have been completed.']",This movement can serve as Warm-up and Dynamic Stretch before sports participation or sports conditioning workouts. Position feet with toes pointing outward slightly. Keep knee pointed same direction of foot during lunge. Flexible hip adductors will allow fuller range of motion. Gracilis is dynamically stretched on straight leg.,"['Hip (Adduction)', 'Hip (Extension)', 'Knee (Extension)', 'Ankle (Plantar Flexion)']","['Spine (Thoracic, Lumbar) (Extension)']"
9,Walking Lunge,[],[],[],Stand upright with arms to sides.,"['Step forward with right leg and bend left arm. Land on heel, then forefoot. Lower body by flexing knee and hip of front leg until knee of rear leg makes contact or is almost in contact with floor. Stand on forward leg with initial assistance of rear leg and lower and straighten left arm down to side. Lunge forward with left leg with same movement pattern. Repeat by alternating lunge with opposite legs.']",This movement can serve as Warm-up and Dynamic Stretch before sports participation or sports conditioning workout. Keep torso upright during lunge; flexible hip flexors are important. Lead knee should point same direction as foot throughout lunge. A long lunge emphasizes Gluteus Maximus; short lunge emphasizes Quadriceps. Tibialis Anterior is exercised eccentrically during landing on heel.,"['Hip (Extension)', 'Hip (Flexion)', 'Knee (Flexion)', 'Knee (Extension)', 'Ankle (Plantar Flexion)']","['Spine (Thoracic, Lumbar) (Extension)', 'Spine (Thoracic, Lumbar) (Lateral Flexion)', 'Hip (Abduction)', 'Ankle (eccentric) (Dorsal Flexion)']"
