,excercise_name,utility,mechanics,force,preparation,execution,comments,target_muscles,synergist_muscles,stabalizer_muscles,dynamic_stabilizer_muscles
0,Machine-assisted Chest Dip,['Basic'],['Compound'],['Push'],"Mount wide dip bar with oblique grip (bar diagonal under palm), arms straight with shoulders above hands. Step down onto assistance lever with hips and knees bent.","Lower body by bending arms, allowing elbows to flare out to sides. When slight stretch is felt in chest or shoulders, push body up until arms are straight. Repeat.",See mount and dismount. Some assisted machines require you to kneel on platform instead of standing on bar. Also see Assisted Triceps Dip.,"['Pectoralis Major, Sternal']","['Deltoid, Anterior', 'Triceps Brachii', 'Pectoralis Major, Clavicular', 'Pectoralis Minor', 'Rhomboids', 'Levator Scapulae', 'Latissimus Dorsi', 'Teres Major']","['Trapezius, Lower']",[]
1,Machine-assisted Chest Dip (kneeling),['Basic'],['Compound'],['Push'],"Mount wide dip bar with oblique grip (bar diagonal under palm), arms straight with shoulders above hands. Kneel on padded platform, lowering it down slightly so hips are slightly bent.","Lower body by bending arms, allowing elbows to flare out to sides. When slight stretch is felt in chest or shoulders push body up until arms are straight. Repeat.",See mount and dismount. Some assisted machines require you to standing on bar. Also see Assisted Triceps Dip.,"['Pectoralis Major, Sternal']","['Deltoid, Anterior', 'Triceps Brachii', 'Pectoralis Major, Clavicular', 'Pectoralis Minor', 'Rhomboids', 'Levator Scapulae', 'Latissimus Dorsi', 'Teres Major']","['Trapezius, Lower']",[]
2,Barbell Bench Press,['Basic'],['Compound'],['Push'],Lie supine on bench. Dismount barbell from rack over upper chest using wide oblique overhand grip.,Lower weight to chest. Press bar upward until arms are extended. Repeat.,Range of motion will be compromised if grip is too wide.,"['Pectoralis Major, Sternal']","['Pectoralis Major, Clavicular', 'Deltoid, Anterior', 'Triceps Brachii']",[],[]
3,Barbell Bench Press (power lift),['Basic'],['Compound'],['Push'],"Lie supine on bench. Grasp bar with overhand and slightly wider than shoulder width grip. Arch back, extend hips, and position feet back flat on floor. Dismount barbell from rack over chest.",Lower weight to lower chest. Press bar upward until arms are extended. Repeat.,"Competitive lifting requires bar to make contact with chest above bottom of the sternum with momentary pause. Gluteus Maximus, Erector Spinae, Quadriceps, and other muscles may be considered significant stabilizers during actual powerlift.","['Pectoralis Major, Sternal']","['Pectoralis Major, Clavicular', 'Deltoid, Anterior', 'Triceps Brachii']","['Erector Spinae', 'Gluteus Maximus']",[]
4,Barbell Board Press,['Auxiliary'],['Compound'],['Push'],"Lie supine on bench. Grasp bar with overhand and slightly wider than shoulder width grip. Arch back, extend hips, and position feet back flat on floor. Dismount barbell from rack over chest. Have assistant hold board on center of chest.",Lower weight toward lower chest on to board. Press bar upward until arms are extended. Repeat.,"Instead of assistant holding bench board, it can be strapped to torso, as shown. Boards of varying thicknesses (1, 2, or 3) can be used. Board Press develops strength in middle range of motion for Bench Press. Gluteus Maximus, Erector Spinae, Quadriceps, and other muscles may be considered significant stabilizers during actual powerlift.","['Pectoralis Major, Sternal']","['Pectoralis Major, Clavicular', 'Deltoid, Anterior', 'Triceps Brachii']","['Erector Spinae', 'Gluteus Maximus']",[]
5,Barbell Floor Press,['Auxiliary'],['Compound'],['Push'],Lie supine on floor at base of power rack. Place feet on floor with knees bent. Grasp bar from rack with overhand and slightly wider than shoulder width grip. Dismount barbell from rack over chest.,"Lower weight to lower chest until the triceps are completely on the floor. Relax momentarily, then press bar upward until arms are extended. Repeat.",Floor Presses are also said to build explosive strength by breaking eccentric/concentric chain (AKA: stretch-shortening cycle) normally activated at bottom of standard Bench Press.,"['Pectoralis Major, Sternal']","['Pectoralis Major, Clavicular', 'Deltoid, Anterior', 'Triceps Brachii']",[],[]
6,Barbell Guillotine Bench Press,['Auxiliary'],['Compound'],['Push'],Lie supine on bench. Dismount barbell from rack over upper chest using wide oblique overhand grip.,Lower weight to neck to upper chest. Upper arms will be perpendicular to torso. Press bar until arms are extended. Repeat.,Upper arm travels in perpendicular path to torso to minimize anterior deltoid involvement and mimics upper arm positioning of Chest Flies. The oblique grip (hand positioned with palm diagonal on bar) allows elbows to be more easily turned outward to each side. Also see Bench Press Analysis.,"['Pectoralis Major, Sternal']","['Pectoralis Major, Clavicular', 'Triceps Brachii', 'Deltoid, Anterior (see comments)']",[],[]
7,Barbell Bench Press (with chains),"['Basic', 'Auxiliary']",['Compound'],['Push'],"Lie supine on bench. Grasp barbell loaded with thick chains from each side, with overhand and slightly wider than shoulder width grip. Dismount barbell from rack over chest.",Lower weight to chest. Press bar upward until arms are extended. Repeat.,Chains provide increasing resistance as barbell moves away from floor. Chains can be used during either Powerlift-style Bench Press or Standard-style Bench Press. Also see Bench Press Analysis.,"['Pectoralis Major, Sternal']","['Pectoralis Major, Clavicular', 'Deltoid, Anterior', 'Triceps Brachii']",[],[]
8,Barbell Decline Bench Press,"['Basic', 'Auxiliary']",['Compound'],['Push'],Lie supine on decline bench with feet under leg brace. Dismount barbell from rack over chest using wide oblique overhand grip.,Lower weight to chest. Press bar until arms are extended. Repeat.,Range of motion will be compromised if grip is too wide. Latissimus Dorsi involvement is l ow on Decline Bench Press (Barnett 1995). Also see Bench Press Analysis.,"['Pectoralis Major, Sternal']","['Pectoralis Major, Clavicular', 'Deltoid, Anterior', 'Triceps Brachii']",[],[]
9,Cable Chest Dip,['Basic'],['Compound'],['Push'],"Step between wide dip bars with dip belt around waist. Kneel as close as possible to low pulley and attach cable to dip belt. Stand up and mount dip bar with oblique grip (bar diagonal under palm), arms straight with shoulders above hands. Keep hips and knees bent.","Lower body by bending arms, allowing elbows to flare out to sides. When slight stretch is felt in chest or shoulders, push body up until arms are straight and repeat.","The animation depicts dip bar placed in front of low pull cable. If cable dip machine is available, attach hip harness and step up to dip bar. Also see Cable Triceps Dip.","['Pectoralis Major, Sternal']","['Deltoid, Anterior', 'Triceps Brachii', 'Pectoralis Major, Clavicular', 'Pectoralis Minor', 'Rhomboids', 'Levator Scapulae', 'Latissimus Dorsi', 'Teres Major']","['Trapezius, Lower']",[]
