,excercise_name,utility,mechanics,force,preparation,execution,comments,target_muscles,synergist_muscles,stabalizer_muscles,dynamic_stabilizer_muscles
0,Barbell Bent Knee Good-morning,['Auxiliary'],['Isolated'],['Pull'],Position barbell on back of shoulders and grasp bar to sides.,"Keeping back straight, bend hips to lower torso forward until parallel to floor. Bend knees slightly during descent. Raise torso until hips are extended. Repeat.","Begin with very light weight and add additional weight gradually to allow adequate adaptation. Throughout lift, keep back straight. Knees will have to bend more with those with less hamstring flexibility. Knees can be kept bent throughout movement. Also see straight leg Goodmorning emphasizing Hamstrings.",['Gluteus Maximus'],"['Adductor Magnus', 'Hamstrings']","['Erector Spinae', 'Quadriceps']",[]
1,Barbell Seated Good-morning,['Auxiliary'],['Isolated'],['Pull'],Position barbell on back of shoulders and grasp bar to sides. Sit on end of bench or corner of box secured to floor. Position feet apart on floor with knees slightly bent.,"Keeping back straight, bend torso forward as low as possible by bending hips. Raise torso until torso is upright. Repeat.","Begin with very light weight and add additional weight gradually to allow adequate adaptation. Throughout lift, keep back straight. Hamstrings will be emphasized if knees are straight.",['Gluteus Maximus'],"['Adductor Magnus', 'Hamstrings']",['Erector Spinae'],[]
2,Barbell Deadlift,['Basic'],['Compound'],['Pull'],With feet flat beneath bar squat down and grasp bar with shoulder width or slightly wider overhand or mixed grip.,"Lift bar by extending hips and knees to full extension. Pull shoulders back at top of lift if rounded. Return weights to floor by bending hips back while allowing knees to bend forward, keeping back straight and knees pointed same direction as feet. Repeat.","Throughout lift, keep hips low, shoulders high, arms and back straight. Knees should point same direction as feet throughout movement. Keep bar close to body to improve mechanical leverage. Grip strength and strength endurance often limit ability to perform multiple reps at heavy resistances. Gym chalk, wrist straps, grip work, and mixed grip can be used to enhance grip. Mixed grip indicates one hand holding with overhand grip and other hand holding with underhand grip. Lever barbell jack can be used to lift barbell from floor for easier loading and unload of weight plates.",['Gluteus Maximus'],"['Quadriceps', 'Adductor Magnus', 'Hamstrings (top half)', 'Soleus']","['Erector Spinae', 'Trapezius, Middle', 'Trapezius, Upper', 'Levator Scapulae', 'Rhomboids']",[]
3,Barbell Block Pull,"['Basic', 'Auxiliary']",['Compound'],['Pull'],"With barbell on blocks, position feet shoulder width or slightly narrower beneath bar. Squat down and grasp bar with shoulder width or slightly wider overhand or mixed grip.",Lift bar by extending hips and knees to full extension. Pull shoulders back at top of lift if rounded. Return and repeat.,"Throughout lift, keep hips low, shoulders high, arms and back straight. Knees should point same direction as feet throughout movement. Keep bar close to body to improve mechanical leverage. Grip strength and strength endurance often limit ability to perform multiple reps at heavy resistances. Gym chalk, wrist straps, grip work, and mixed grip can be used to enhance grip. Mixed grip indicates one hand holding with overhand grip and other hand holding with underhand grip.",['Gluteus Maximus'],"['Quadriceps', 'Adductor Magnus', 'Hamstrings (above knees)', 'Soleus']","['Erector Spinae', 'Trapezius, Middle', 'Trapezius, Upper', 'Levator Scapulae', 'Rhomboids']",[]
4,Barbell Deficit Deadlift,"['Basic', 'Auxiliary']",['Compound'],['Pull'],Stand on weight plate or shallow elevated platform with loaded bar above feet. Squat down and grasp bar with shoulder width or slightly wider overhand or mixed grip.,"Lift bar by extending hips and knees to full extension. Pull shoulders back at top of lift if rounded. Return weights to floor by bending hips back, while allowing knees to bend forward, keeping back straight and knees pointed same direction as feet. Repeat.","Throughout lift, keep hips low, shoulders high, arms and back straight. Knees should point same direction as feet throughout movement. Keep bar close to body to improve mechanical leverage. Grip strength and strength endurance often limit ability to perform multiple reps at heavy resistances.",['Gluteus Maximus'],"['Quadriceps', 'Adductor Magnus', 'Hamstrings (above knees)', 'Soleus']","['Erector Spinae', 'Trapezius, Middle', 'Trapezius, Upper', 'Levator Scapulae', 'Rhomboids']",[]
5,Barbell Rack Pull,"['Basic', 'Auxiliary']",['Compound'],['Pull'],"In power rack, with barbell on safety bar in low position, place feet shoulder width or slightly narrower beneath bar. Squat down and grasp bar with shoulder width or slightly wider overhand or mixed grip.",Lift bar by extending hips and knees to full extension. Pull shoulders back at top of lift if rounded. Return and repeat.,"Throughout lift, keep hips low, shoulders high, arms and back straight. Knees should point same direction as feet throughout movement. Keep bar close to body to improve mechanical leverage. Grip strength and strength endurance often limit ability to perform multiple reps at heavy resistances. Gym chalk, wrist straps, grip work, and mixed grip can be used to enhance grip. Mixed grip indicates one hand holding with overhand grip and other hand holding with underhand grip.",['Gluteus Maximus'],"['Quadriceps', 'Adductor Magnus', 'Hamstrings (above knees)', 'Soleus']","['Erector Spinae', 'Trapezius, Middle', 'Trapezius, Upper', 'Levator Scapulae', 'Rhomboids']",[]
6,Barbell Sumo Deadlift,['Basic'],['Compound'],['Pull'],"Position feet under bar with very wide stance. Squat down and grasp bar between legs with shoulder width mixed grip. Face forward while positioning shoulders upward with arms straight, chest high, hips low, and back straight.","Pull bar up by driving feet outward, while pulling chest up. Extend knees when bar passes knees. At top of lift, when torso is upright, drive shoulders back and chest up. Return weight to floor by bending hips back and knees pointed outward, while keeping chest high and back straight. Repeat.","Use shoulder width grip since narrower than shoulder width grip will make it more difficult to lockout at top. Throughout lift, keep hips low, shoulders high, arms and back straight, and knees pointed out same direction as feet. Also, keep bar close to body to improve mechanical leverage. With wide stance, push feet out to sides and not down to prevent knees from buckling inward. Pushing knees out will allow hips to travel toward bar more quickly while improving leverage.",['Gluteus Maximus'],"['Quadriceps', 'Adductor Magnus', 'Soleus']","['Erector Spinae', 'Trapezius, Middle', 'Trapezius, Upper', 'Levator Scapulae', 'Rhomboids']",[]
7,Barbell Sumo Block Pull,"['Basic', 'Auxiliary']",['Compound'],['Pull'],"With barbell on blocks, position feet under bar with very wide stance. Squat down and grasp bar between legs with shoulder width mixed grip. Face forward while positioning shoulders upward with arms straight, chest high, hips low, and back straight.","Pull bar up by driving feet outward while pulling chest up. Extend knees when bar passes knees. At top of lift, when torso is upright, drive shoulders back and chest up. Return weight to blocks by bending hips back and knees pointed outward, while keeping chest high and back straight. Repeat.","Use shoulder width grip, since narrower than shoulder width grip will make it more difficult to lockout at top. Throughout lift, keep hips low, shoulders high, arms and back straight, and knees pointed out same direction as feet. Also, keep bar close to body to improve mechanical leverage. With wide stance, push feet out to sides and not down to prevent knees from buckling inward. Pushing knees out will allow hips to travel toward bar more quickly while improving lev erage.",['Gluteus Maximus'],"['Quadriceps', 'Adductor Magnus', 'Soleus']","['Erector Spinae', 'Trapezius, Middle', 'Trapezius, Upper', 'Levator Scapulae', 'Rhomboids']",[]
8,Barbell Stiff Leg Deadlift,"['Basic', 'Auxiliary']",['Compound'],['Pull'],"Stand with shoulder width or narrower stance on 5"" to 8"" (13-20 cm) platform with feet flat beneath bar. Bend over and grasp barbell with shoulder width or slightly wider overhand or mixed grip.","With knees bent, lift bar by extending at hips until standing upright. Pull shoulders back at top of lift if rounded. Extend knees at top if desired. Lower bar to top of feet by bending hips. Bend knees slightly during descent and keep waist straight, flexing only slightly at bottom. Repeat.",Throughout lift keep arms and back straight. Lower back may bend slightly during full hip flexion. Quadriceps can be kept bent throughout movement. See Dangerous Exercise Essay. Also see Straight Back Stiff Leg Deadlift.,['Gluteus Maximus'],"['Erector Spinae', 'Adductor Magnus', 'Hamstrings']","['Quadriceps', 'Trapezius, Middle', 'Rhomboids', 'Latissimus Dorsi', 'Trapezius, Upper', 'Levator Scapulae', 'Trapezius, Lower']",[]
9,Barbell Single Leg Stiff-leg Deadlift,['Auxiliary'],['Isolated'],['Pull'],"Hold barbell down in front, arms straight with shoulder width or slightly wider overhand grip. Stand with feet together. Lift leg slightly so foot is just off floor.","Lower bar to floor while raising lifted leg back behind. Keep back straight and knee of supporting leg slightly bent. Keep hip and knee of lifted leg extended throughout movement. Once stretch is felt or barbell contacts floor, return to original position by raising torso while lowering lifted leg. Straighten knee of supporting leg as torso becomes upright. Repeat.","Throughout lift, keep arms and back straight. Do not lower weight beyond mild stretch throughout hamstrings. Full range of motion will vary from person to person. Those with less flexibility may need to bend knee of supporting leg more so barbell can contact floor. At top of movement, lifted foot can make contact with floor to maintain balance between repetitions.",['Gluteus Maximus (supporting leg)'],"['Hamstrings', 'Adductor Magnus']","['Erector Spinae', 'Quadriceps', 'Trapezius, Middle', 'Rhomboids', 'Latissimus Dorsi', 'Trapezius, Upper', 'Levator Scapulae', 'Trapezius, Lower', 'Quadratus Lumborum', 'Gluteus Medius', 'Gluteus Minimus', 'Obliques', 'Gluteus Maximus (lifted leg)']",[]
