,excercise_name,utility,mechanics,force,preparation,execution,comments,dynamic_articulation,static_articulation
0,Kettlebell Deadlift,['Basic'],['Compound'],['Pull'],Stand between two kettlebells. Squat down with feet flat and grasp handles to sides. Position shoulders over kettlebells with taut low back.,['Pull kettlebells up off floor by extending hips and knees. Stand upright with chest high. Lower kettlebells to original position while squatting down with taut lower back.'],"Keep feet flat on floor, hips low, and back taut throughout lift. Knees should point sam e direction as feet throughout movement. Do not jerk weight from floor. See side view. Also see Trap Bar Deadlift.","['Hip (Extension)', 'Ankle (Plantar Flexion)', 'Knee (Extension)']","['Spine (Thoracic, Lumbar) (Extension)', 'Scapula & Clavicle (Elevation)']"
1,Kettlebell Press,['Basic'],['Compound'],['Push'],Take kettlebell from rack or clean from floor and position in front of chest with kettlebell against outside of arm. Stand with feet slightly wider than shoulder's width apart.,['Press kettlebell upward until arm is extended overhead. Lower to front of chest and repeat. Reposition kettlebell to opposite arm and continue.'],Keep arm close to body in bottom position. Wrist supporting kettlebell should be kept straight. Also see Dumbbell One Arm Shoulder Press.,"['Elbow (Extension)', 'Shoulder (Abduction)', 'Shoulder (Flexion)', 'Scapula & Clavicle (Upward Rotation)']","['Spine (Thoracic, Lumbar) (Extension)', 'Spine (Thoracic, Lumbar) (Flexion)', 'Spine (Thoracic, Lumbar) (Lateral Flexion)', 'Wrist (Flexion)']"
2,Kettlebell Sumo Deadlift,['Basic'],['Compound'],['Pull'],Straddle kettlebell with feet slightly wider apart than shoulder width. Squat down with arms extended downward between legs and grasp kettlebell handle with overhand grip with both hands. Position shoulders over kettlebell with taut low back and trunk close to vertical.,['Pull kettlebell up off floor by extending hips and knees. Stand upright with chest high. Lower kettlebell to ground between legs while squatting down with taut lower back and trunk close to vertical.'],"Keep feet flat on floor, hips low, and back taut thoughout lift. Knees should point same direction as feet throughout movement. Do not jerk weight from floor. Also see Barbell Sumo Deadlift.","['Hip (Extension)', 'Ankle (Plantar Flexion)', 'Knee (Extension)']","['Spine (Thoracic, Lumbar) (Extension)', 'Scapula & Clavicle (Elevation)']"
3,Kettlebell Two Arm Swing,['Specialized'],['Compound'],['Pull'],Stand behind kettlebell with feet slightly wider apart than shoulder width. Bend over at hip with knees bent and back straight. Extend arms downward and grasp kettlebell handle with both hands using overhand grip. Lift kettlebell off of floor and pull forearms against inner thighs while keeping hips and knees bent with low back taut.,"['Drive hips forward, torso upright, and knees straight so kettlebell is pushed forward and upward. Allow kettlebell to swing back down. As kettlebell approaches lower position, fold at hips while bending knees. Forearms make contact with inner thighs permitting kettlebell to swing back under hips. Immediately repeat movement and continue to swing kettlebell. Maintain shoulder to eye level height swings.', 'Return', ""Swing kettlebell back down between legs. Allow kettlebell to swing forward but do not extend hips and knees (as would be required to continue the swing). Slow kettlebell's swing and place on floor in original deadlift posture.""]",Keep arms straight and back taut throughout swing. Dynamic shoulder and shoulder girdle movements are largely passive due to pendulum effect. Hips primarily drive kettlebell upwards. Following dynamic forces are used during initial pull of kettlebell between legs.,"['Ankle (Plantar Flexion)', 'Shoulder (Flexion)', 'Hip (Extension)', 'Scapula & Clavicle (Upward Rotation)', 'Knee (Extension)']","['Spine (Thoracic, Lumbar) (Extension)', 'Scapula & Clavicle (Protraction (upper position))', 'Scapula & Clavicle (Elevation (lower position))']"
4,Kettlebell Two Arm Overhead Swing,['Specialized'],['Compound'],['Pull'],Stand behind kettlebell with feet slightly wider apart than shoulder width. Bend over at hip with knees bent and back straight. Extend arms downward and grasp kettlebell handle with both hands using overhand grip. Lift kettlebell off of floor and pull forearms against inner thighs while keeping hips and knees bent with low back taut.,"['Drive hips forward, torso upright, and knees straight so kettlebell is pushed forward and upward overhead. Allow kettlebell to swing back down. As kettlebell approaches lower position, fold at hips while bending knees. Forearms make contact with inner thighs permitting kettlebell to swing back under hips. Immediately repeat movement and continue to swing kettlebell.', 'Return', ""Swing kettlebell back down between legs. Allow kettlebell to swing forward but do not extend hips and knees (as would be required to continue the swing). Slow kettlebell's swing and place on floor in original deadlift posture.""]",Also known as American Swing and advocated by Crossfit. Critics claim relatively many people do not have thoracic spine and shoulder girdle flexibility necessary to raising their arms straight overhead with completely fixed and neutral spine.,"['Ankle (Plantar Flexion)', 'Shoulder (Flexion)', 'Hip (Extension)', 'Scapula & Clavicle (Upward Rotation)', 'Knee (Extension)']","['Spine (Thoracic, Lumbar) (Extension)', 'Scapula & Clavicle (Protraction (middle position))', 'Scapula & Clavicle (Elevation (lower position))']"
5,Kettlebell Two Arm Swing Catch,['Specialized'],['Compound'],['Pull'],Execution 1,"['As kettlebell rises vertically in front of chest, pull kettlebell inward slightly and quickly release grip. Immediately rotate wrists while pointing bent elbows downward. As kettlebell begins to fall back down, grasp kettlebell handle with both hands with underhand grip. Immediately bend over at hips while bending knees. Allow arms to straighten and forearms to make contact with inner thighs while kettlebell swings back under hips.', 'Execution 2', 'As kettlebell rises vertically in front of body, pull kettlebell inward slightly, quickly release grip, and switch grip back by grasping with overhand grip. Immediately bend over at hips while bending knees. Allow arms to straighten and forearms to make contact with inner thighs while kettlebell swings back under hips. Continue to swing kettlebell downward and upward switching between over and underhand grips.', 'Return', ""Swing kettlebell back down between legs. Allow kettlebell to swing forward but do not extend hips and knees (as would be required to continue the swing). Slow kettlebell's swing and place on floor in original deadlift posture.""]","Exercise emphasizes hand-eye coordination. A less challenging movement can be practiced by switching grips of only one hand at a time, so at least one hand grips kettlebell at all times. For example, grip would transfer from overhand, to mixed, to underhand, to mixed, and back to overhand.","['Ankle (Plantar Flexion)', 'Elbow (Flexion)', 'Scapula & Clavicle (Upward Rotation)', 'Hip (Extension)', 'Shoulder (Flexion)', 'Scapula & Clavicle (Protraction)', 'Knee (Extension)']","['Spine (Thoracic, Lumbar) (Extension)', 'Scapula & Clavicle (Elevation)']"
6,Kettlebell Swing,['Specialized'],['Compound'],['Pull'],Stand behind kettlebell with feet slightly wider apart than shoulder width. Bend over at hip with knees bent and back straight. Extend arm downward and grasp kettlebell handle with overhand grip. Lift kettlebell off of floor and pull forearm against inner thighs while keeping hips and knees bent with low back taut.,"['Drive hips forward, torso upright, and knees straight so kettlebell is pushed forward and upward. Allow kettlebell to swing back down. As kettlebell approaches lower position, fold at hips while bending knees. Forearm makes contact with inner thigh permitting kettlebell to swing back under hips. Immediately repeat movement and continue to swing kettlebell. Maintain shoulder to eye level height swings.', 'Return', ""Swing kettlebell back down between legs. Allow kettlebell to swing forward, but do not extend hips and knees (as would be required to continue the swing). Slow kettlebell's swing and place on floor in original deadlift posture.""]",Keep arm straight and back taut throughout swing. Torso will be rotated slightly but attempt to keep shoulders somewhat square by resisting pull of kettlebell twisting torso too far.,"['Ankle (Plantar Flexion)', 'Scapula & Clavicle (Upward Rotation)', 'Hip (Extension)', 'Shoulder (Flexion)', 'Shoulder (Abduction)', 'Spine (Thoracic, Lumbar) (Rotation)', 'Knee (Extension)']","['Spine (Thoracic, Lumbar) (Extension)', 'Spine (Thoracic, Lumbar) (Lateral Flexion)', 'Scapula & Clavicle (Protraction (upper position))', 'Scapula & Clavicle (Elevation (lower position))']"
7,Kettlebell Alternating Swing Catch,['Specialized'],['Compound'],['Pull'],"Release kettlebell as it reaches shoulder height. As kettlebell begins to fall back down, grasp kettlebell handle with opposite hand. Allow kettlebell to swing back down. As kettlebell approaches lower position, fold at hips while bending knees. Forearm makes contact with inner thigh permitting kettlebell to swing back under hips.","['Release kettlebell as it reaches shoulder height. As kettlebell begins to fall back down, grasp kettlebell handle with opposite hand. Allow kettlebell to swing back down. As kettlebell approaches lower position, fold at hips while bending knees. Forearm makes contact with inner thigh permitting kettlebell to swing back under hips.', 'Drive hips forward, torso upright, and knees straight so kettlebell is pushed forward and upward. Repeat by continuing to switch between hands on each swing. Maintain shoulder to eye level height swings.']",,"['Ankle (Plantar Flexion)', 'Scapula & Clavicle (Upward Rotation)', 'Hip (Extension)', 'Shoulder (Flexion)', 'Scapula & Clavicle (Protraction)', 'Spine (Thoracic, Lumbar) (Rotation)', 'Knee (Extension)']","['Spine (Thoracic, Lumbar) (Extension)', 'Spine (Thoracic, Lumbar) (Lateral Flexion)', 'Scapula & Clavicle (Protraction (upper position))', 'Scapula & Clavicle (Elevation (lower position))']"
8,Kettlebell Alternating Swing Flip Catch,['Specialized'],['Compound'],['Pull'],Begin with Swing.,"['As kettlebell approaches shoulder height decelerate handle so kettlebell begins to tilt back. Release kettlebell allowing it to gain height and flip end over end. As soon as kettlebell handle rotates back to top, grasp kettlebell handle with opposite hand. Return kettlebell between legs. Fold at hips while bending knees so forearm makes contact with inner thigh. Allow kettlebell to swing back under hips.', 'Drive hips forward, torso upright, and knees straight so kettlebell is pushed forward and upward. Repeat by continuing to switch, flip and catch; alternating between arms on each swing.']",Keep arm straight and back taut throughout swing. Torso will be rotated slightly but attempt to keep shoulders somewhat square by resisting pull of kettlebell twist torso too far. Exercise emphasizes hand-eye coordination.,"['Ankle (Plantar Flexion)', 'Scapula & Clavicle (Upward Rotation)', 'Hip (Extension)', 'Shoulder (Flexion)', 'Scapula & Clavicle (Protraction)', 'Spine (Thoracic, Lumbar) (Rotation)', 'Knee (Extension)']","['Spine (Thoracic, Lumbar) (Extension)', 'Spine (Thoracic, Lumbar) (Lateral Flexion)', 'Scapula & Clavicle (Protraction (upper position))', 'Scapula & Clavicle (Elevation (lower position))']"
9,Kettlebell Bent-knee Windmill,['Specialized'],['Compound'],['Push'],"Raise kettlebell overhead. Stand with left arm fully extended upward, supporting kettlebell and right arm down to side. Stand with legs far apart with feet angled slightly out to the sides.","['Bend over to right side and bend right knee. Reach toward arch of right foot with right hand. Keep left knee straight and kettlebell balanced over left shoulder with both arms extended. Slide right forearm along inner side of right lower leg until finger tips contact floor along side arch of foot. Raise back up to original position, maintaining balance of kettlebell overhead above left shoulder. Repeat. Continue movement on opposite side.']","Exercise emphasizes load balance and shoulder mobility. Since weight is shifted more to bent leg, those hip articulations are emphasized over the straight leg. Also see slightly more challenging Kettlebell Windmill performed with both legs straight.","['Ankle (Plantar Flexion (bent leg))', 'Hip (Extension)', 'Knee (Extension (bent leg))', 'Hip (Adduction (bent leg))', 'Spine (Thoracic, Lumbar) (Lateral Flexion)', 'Spine (Thoracic, Lumbar) (Rotation)', 'Hip (Internal Rotation (bent leg))']","['Shoulder (Flexion (upper position))', 'Shoulder (Abduction (mid position))', 'Shoulder (Transverse Extension (lower position))', 'Scapula & Clavicle (Upward Rotation (upper position))', 'Scapula & Clavicle (Protraction (lower position))', 'Spine (Thoracic, Lumbar) (Extension)', 'Wrist (Flexion)']"
