,excercise_name,utility,mechanics,force,preparation,execution,comments,dynamic_articulation,static_articulation
0,Clean and Jerk,['Power'],['Compound'],"['Pull', 'Push']",Stand over barbell with balls of feet positioned under bar slightly wider apart than hip width. Squat down and grip bar with overhand grip slightly wider than shoulder width. Position shoulders over bar with back arched tightly. Arms are straight with elbows pointed along bar.,"['Pull bar up off floor by extending hips and knees. As bar reaches knees, vigorously raise shoulders while keeping barbell close to thighs. When barbell passes mid-thigh, allow it to contact thighs. Jump upward extending body. Shrug shoulders and pull barbell upward with arms, allowing elbows to flex out to sides, keeping bar close to body. Aggressively pull body under bar, rotating elbows around bar. Catch bar on shoulders while moving into squat position. Hitting bottom of squat, stand up immediately.', 'Execution (Jerk)', 'Adjust grip if necessary. Inhale and position chest high with torso tight. Keeping pressure on heels, dip body by bending knees and ankles slightly. Explosively drive upward with legs, driving barbell up off shoulders. Drop body downward and split one foot forward and other backward as fast as possible, while vigorously extending arms over head.', ""The split position places front shin vertical to floor with front foot flat on floor. The rear knee is slightly bent with rear foot positioned on toes. The bar should be positioned directly over ears at arm's length with back straight. Push up with both legs. Position feet side by side by bringing front foot back part way and then rear foot forward."", 'Return', 'Lower barbell to shoulders, then bend knees slightly and lower barbell to mid-thigh position. Slowly lower bar with taut lower back and trunk close to vertical. The advanced athlete may unload (drop) bar from completed position. This technique may be practiced to reduce stress or fatigue involved in lowering bar as prescribed. Use rubber weightlifting plates on weightlifting platform if this unloading method is used (unless floor demolition is desired). Also known as Squat Clean and Jerk.']","Hook grip is used by advanced lifters to maintain grip during clean. Do not jerk weight from floor; arise steadily then accelerate. The Clean-and-Jerk is multi-movement lift. In Clean, barbell is lifted from floor to shoulders. In Jerk, barbell is driven from shoulders to arms length overhead. The lift is complete when feet are in line and bar is under control. Also see:","['Hip (Flexion)', 'Ankle (Plantar Flexion)', 'Elbow (Flexion)', 'Shoulder (Flexion)', 'Hip (Extension)', 'Scapula & Clavicle (Upward Rotation)', 'Shoulder (Abduction)', 'Elbow (Extension)', 'Knee (Extension)', 'Shoulder (External Rotation)', 'Scapula & Clavicle (Elevation)']","['Spine (Thoracic, Lumbar) (Extension)']"
1,Power Clean and Jerk,['Power'],['Compound'],"['Pull', 'Push']",Stand over barbell with balls of feet positioned under bar slightly wider apart than hip width. Squat down and grip bar with overhand grip slightly wider than shoulder width. Position shoulders over bar with back arched tightly. Arms are straight with elbows pointed along bar.,"['Pull bar up off floor by extending hips and knees. As bar reaches knees vigorously, raise shoulders while keeping barbell close to thighs. When barbell passes mid-thigh, allow it to contact thighs. Jump upward extending body. Shrug shoulders and pull barbell upward with arms, allowing elbows to flex out to sides, keeping bar close to body. Aggressively pull body under bar, rotating elbows around bar. Catch bar on shoulders before knees bend lower than 90°. Stand up immediately so thighs ride no lower than parallel to floor.', 'Execution (Jerk)', ""Adjust grip if necessary. Inhale and position chest high with torso tight. Keeping pressure on heels, dip body by bending knees and ankles slightly. Explosively drive upward with legs, driving barbell up off shoulders. Drop body downward and split one foot forward and other backward as fast as possible, while vigorously extending arms over head. The split position places front shin vertical to floor with front foot flat on floor. The rear knee is slightly bent with rear foot positioned on toes. The bar should be positioned directly over ears at arm's length with back straight. Push up with both legs. Position feet side by side by bringing front foot back part way and then rear foot forward."", 'Lower barbell to shoulders, then bend knees slightly and lower barbell to mid-thigh position. Slowly lower bar with taut lower back and trunk close to vertical. The advanced athlete may unload (drop) bar from completed position. This technique may be practiced to reduce stress or fatigue involved in lowering bar as prescribed. Use rubber weightlifting plates on weightlifting platform if this unloading method is used (unless floor demolition is desired).', ""Hook grip is used by advanced lifters to maintain grip during clean. Do not jerk weight from floor; arise steadily then accelerate. The Power Clean-and-Jerk is multi-movement lift. In Power Clean, barbell is lifted from floor to shoulders. In Jerk, barbell is driven from shoulders to arm's length over head. The lift is complete when feet are in line and bar is under control. Also see:"", 'Dynamic', 'Static']","Hook grip is used by advanced lifters to maintain grip during clean. Do not jerk weight from floor; arise steadily then accelerate. The Power Clean-and-Jerk is multi-movement lift. In Power Clean, barbell is lifted from floor to shoulders. In Jerk, barbell is driven from shoulders to arm's length over head. The lift is complete when feet are in line and bar is under control. Also see:","['Hip (Flexion)', 'Ankle (Plantar Flexion)', 'Elbow (Flexion)', 'Shoulder (Flexion)', 'Hip (Extension)', 'Scapula & Clavicle (Upward Rotation)', 'Shoulder (Abduction)', 'Elbow (Extension)', 'Knee (Extension)', 'Shoulder (External Rotation)', 'Scapula & Clavicle (Elevation)']","['Spine (Thoracic, Lumbar) (Extension)']"
2,Hang Power Clean and Jerk,['Power'],['Compound'],"['Pull', 'Push']",Stand with barbell with overhand grip slightly wider than shoulder width. Feet point forward hip's width apart or slightly wider. Bend knees and hips so barbell touches mid-thigh; shoulders over bar with back arched. Arms are straight with elbows pointed along bar. Chest is spread and wrists are slightly flexed.,"['Jump upward extending body. Shrug shoulders and pull barbell upward with arms, allowing elbows to flex out to sides, keeping bar close to body. Aggressively pull body under bar, rotating elbows around bar. Catch bar on shoulders before knees bend lower than 90°. Stand up immediately so thighs ride no lower than parallel to floor.', 'Execution (Jerk)', 'Adjust grip if necessary. Inhale and position chest high with torso tight. Keeping pressure on heels, dip body by bending knees and ankles slightly. Explosively drive upward with legs, driving barbell up off shoulders. Drop body downward and split one foot forward and other backward as fast as possible, while vigorously extending arms over head.', ""The split position places front shin vertical to floor with front foot flat on floor. The rear knee is slightly bent with rear foot positioned on toes. The bar should be positioned directly over ears at arm's length with back straight. Push up with both legs. Position feet side by side by bringing front foot back part way and then rear foot forward."", 'Return', 'Lower barbell to shoulders, then bend knees slightly and lower barbell to mid-thigh position. Stand upright with arms straight.']",Hook grip is used by advanced lifters to maintain grip during clean.,"['Hip (Flexion)', 'Ankle (Plantar Flexion)', 'Elbow (Flexion)', 'Shoulder (Flexion)', 'Hip (Extension)', 'Scapula & Clavicle (Upward Rotation)', 'Shoulder (Abduction)', 'Elbow (Extension)', 'Knee (Extension)', 'Shoulder (External Rotation)', 'Scapula & Clavicle (Elevation)']","['Spine (Thoracic, Lumbar) (Extension)']"
3,Hang Clean and Jerk (from floor),['Power'],['Compound'],"['Pull', 'Push']",Stand over barbell with balls of feet positioned under bar slightly wider apart than hip width. Squat down and grip bar with overhand grip slightly wider than shoulder width. Position shoulders over bar with back arched tightly. Arms are straight with elbows pointed along bar. Pull bar up off floor by extending hips and knees.,"[""From standing position, bend knees and hips so barbell touches mid-thigh, shoulders over bar with back arched. Maintain arms' alignment with elbows pointed along bar. Chest is spread and wrists are slightly flexed. As bar reaches knees, vigorously raise shoulders while keeping barbell close to thighs. When barbell passes mid-thigh, allow it to contact thighs. Jump upward extending body. Shrug shoulders and pull barbell upward with arms, allowing elbows to flex out to sides, keeping bar close to body. Aggressively pull body under bar, rotating elbows around bar. Catch bar on shoulders while moving into squat position. Hitting bottom of squat, stand up immediately."", 'Execution (Jerk)', 'Adjust grip if necessary. Inhale and position chest high with torso tight. Keeping pressure on heels, dip body by bending knees and ankles slightly. Explosively drive upward with legs, driving barbell up off shoulders. Drop body downward and split one foot forward and other backward as fast as possible, while vigorously extending arms over head.', ""The split position places front shin vertical to floor with front foot flat on floor. The rear knee is slightly bent with rear foot positioned on toes. The bar should be positioned directly over ears at arms' length with back straight. Push up with both legs. Position feet side by side by bringing front foot back part way and then rear foot forward."", 'Return', 'Lower barbell to shoulders, then bend knees slightly and lower barbell to mid-thigh position. Slowly lower bar with taut lower back and trunk close to vertical. The advanced athlete may unload (drop) bar from completed position (as shown). This technique may be practiced to reduce stress or fatigue involved in lowering bar as prescribed. Use rubber weightlifting plates on weightlifting platform if this unloading method is used (unless floor demolition is desired).']",Hook grip is used by advanced lifters to maintain grip during clean. The difference between this movement and the Clean-and-Jerk is additional lowering phase after barbell is lifted off of floor.  ,"['Hip (Flexion)', 'Ankle (Plantar Flexion)', 'Elbow (Flexion)', 'Shoulder (Flexion)', 'Hip (Extension)', 'Scapula & Clavicle (Upward Rotation)', 'Shoulder (Abduction)', 'Elbow (Extension)', 'Knee (Extension)', 'Shoulder (External Rotation)', 'Scapula & Clavicle (Elevation)']","['Spine (Thoracic, Lumbar) (Extension)']"
4,Hang Power Clean and Jerk (from floor),['Power'],['Compound'],"['Pull', 'Push']",Stand over barbell with balls of feet positioned under bar slightly wider apart than hip width. Squat down and grip bar with overhand grip slightly wider than shoulder width. Position shoulders over bar with back arched tightly. Arms are straight with elbows pointed along bar. Pull bar up off floor by extending hips and knees.,"[""From standing position, bend knees and hips so barbell touches mid-thigh, shoulders over bar with back arched. Mantain arm's alignment with elbows pointed along bar. Chest is spread and wrists are slightly flexed. As bar reaches knees, vigorously raise shoulders while keeping barbell close to thighs. When barbell passes mid-thigh, allow it to contact thighs. Jump upward extending body. Shrug shoulders and pull barbell upward with arms, allowing elbows to flex out to sides, keeping bar close to body. Aggressively pull body under bar, rotating elbows around bar. Catch bar on shoulders before knees bend lower than 90°. Stand up immediately so thighs ride no lower than parallel to floor."", 'Execution (Jerk)', 'Adjust grip if necessary. Inhale and position chest high with torso tight. Keeping pressure on heels, dip body by bending knees and ankles slightly. Explosively drive upward with legs, driving barbell up off shoulders. Drop body downward and split one foot forward and other backward as fast as possible, while vigorously extending arms over head.', ""The split position places front shin vertical to floor with front foot flat on floor. The rear knee is slightly bent with rear foot positioned on toes. The bar should be positioned directly over ears at arm's length with back straight. Push up with both legs. Position feet side by side by bringing front foot back part way and then rear foot forward."", 'Return', 'Lower barbell to shoulders, then bend knees slightly and lower barbell to mid-thigh position. Slowly lower bar with taut lower back and trunk close to vertical. The advanced athlete may unload (drop) bar from completed position (as shown). This technique may be practiced to reduce stress or fatigue involved in lowering bar as prescribed. Use rubber weightlifting plates on weightlifting platform if this unloading method is used (unless floor demolition is desired).']",Hook grip is used by advanced lifters to maintain grip during clean. Do not jerk weight from floor; arise steadily then accelerate. The difference between this movement and the Power-Clean-and-Jerk is that barbell is not dropped to floor and lifted off of floor. See Hang Power Clean and Jerk.,"['Hip (Flexion)', 'Ankle (Plantar Flexion)', 'Elbow (Flexion)', 'Shoulder (Flexion)', 'Hip (Extension)', 'Scapula & Clavicle (Upward Rotation)', 'Shoulder (Abduction)', 'Elbow (Extension)', 'Knee (Extension)', 'Shoulder (External Rotation)', 'Scapula & Clavicle (Elevation)']","['Spine (Thoracic, Lumbar) (Extension)']"
5,Clean,['Power'],['Compound'],['Pull'],"Stand over barbell with balls of feet positioned under bar pointing forward, hip width's apart or slightly wider. Squat down and grip bar with overhand grip slightly wider than shoulder width (thumbs length from ends of knerlings on Olympic bar). Position shoulders over bar with back arched tightly. Arms are straight with elbows pointed along bar.","['Pull bar up off floor by extending hips and knees. As bar reaches knees, vigorously raise shoulders while keeping barbell close to thighs. When barbell passes mid-thigh, allow it to contact thighs. Jump upward extending body. Shrug shoulders and pull barbell upward with arms, allowing elbows to flex out to sides, keeping bar close to body. Aggressively pull body under bar, rotating elbows around bar. Catch bar on shoulders while moving into squat position. Hitting bottom of squat, stand up immediately.', 'Return', 'Bend knees slightly and lower barbell to mid-thigh position. Slowly lower bar with taut lower back and trunk close to vertical. The advanced athlete may unload (drop) bar from completed position (as shown). This technique may be practiced to reduce stress or fatigue involved in lowering bar as prescribed. Use rubber weightlifting plates on weightlifting platform if this unloading method is used (unless floor demolition is desired).']","Hook grip is used by advanced lifters to maintain grip. Do not jerk weight from floor; arise steadily then accelerate. In clean, barbell is lifted from floor to shoulders. The lift is complete when feet are in line and bar is under control. Also known as Squat Clean. Also see:","['Ankle (Plantar Flexion)', 'Elbow (Flexion)', 'Shoulder (Flexion)', 'Hip (Extension)', 'Scapula & Clavicle (Upward Rotation)', 'Shoulder (Abduction)', 'Knee (Extension)', 'Shoulder (External Rotation)', 'Scapula & Clavicle (Elevation)']","['Spine (Thoracic, Lumbar) (Extension)']"
6,Power Clean,['Power'],['Compound'],['Pull'],"Stand over barbell with balls of feet positioned under bar pointing forward, hip width's apart or slightly wider. Squat down and grip bar with overhand grip slightly wider than shoulder width (thumbs length from ends of knurlings on Olympic bar). Position shoulders over bar with back arched tightly. Arms are straight with elbows pointed along bar.","['Pull bar up off floor by extending hips and knees. As bar reaches knees, vigorously raise shoulders while keeping barbell close to thighs. When barbell passes mid-thigh, allow it to contact thighs. Jump upward, extending body. Shrug shoulders and pull barbell upward with arms, allowing elbows to flex out to sides, keeping bar close to body. Aggressively pull body under bar, rotating elbows around bar. Catch bar on shoulders before knees bend lower than 90°. Stand up immediately so thighs ride no lower than parallel to floor.', 'Return', 'Bend knees slightly and lower barbell to mid-thigh position. Slowly lower bar with taut lower back and trunk close to vertical. The advanced athlete may unload (drop) bar from completed position (as shown). This technique may be practiced to reduce stress or fatigue involved in lowering bar as prescribed. Use rubber weightlifting plates on weightlifting platform if this unloading method is used (unless floor demolition is desired).']","Hook grip is used by advanced lifters to maintain grip during clean. Do not jerk weight from floor; arise steadily then accelerate. In Power Clean, barbell is lifted from floor to shoulders. The lift is complete when feet are in line and bar is under control. Also see:","['Ankle (Plantar Flexion)', 'Elbow (Flexion)', 'Shoulder (Flexion)', 'Hip (Extension)', 'Scapula & Clavicle (Upward Rotation)', 'Shoulder (Abduction)', 'Knee (Extension)', 'Shoulder (External Rotation)', 'Scapula & Clavicle (Elevation)']","['Spine (Thoracic, Lumbar) (Extension)']"
7,Deficit Clean,['Power'],['Compound'],['Pull'],"Stand on shallow platform positioned under barbell with balls of feet under bar pointing forward, hip width's apart or slightly wider. Squat down and grip bar with overhand grip slightly wider than shoulder width (thumbs length from ends of knurlings on Olympic bar). Position shoulders over bar with back arched tightly. Arms are straight with elbows pointed along bar.","['Pull bar up off floor by extending hips and knees. As bar reaches knees, vigorously raise shoulders while keeping barbell close to thighs. When barbell passes mid-thigh, allow it to contact thighs. Jump upward extending body. Shrug shoulders and pull barbell upward with arms, allowing elbows to flex out to sides, keeping bar close to body. Aggressively pull body under bar, rotating elbows around bar. Catch bar on shoulders while moving into squat position. Hitting bottom of squat, stand up immediately.', 'Return', 'Bend knees slightly and lower barbell to mid-thigh position. Slowly lower bar with taut lower back and trunk close to vertical. The advanced athlete may unload (drop) bar from completed position (as shown). This technique may be practiced to reduce stress or fatigue involved in lowering bar as prescribed. Use rubber weightlifting plates on weightlifting platform if this unloading method is used (unless floor demolition is desired).']","Hook grip is used by advanced lifters to maintain grip. Do not jerk weight from floor; arise steadily then accelerate. In clean, barbell is lifted from floor to shoulders. The lift is complete when feet are in line and bar is under control. Also known as Squat Clean. Also see:","['Ankle (Plantar Flexion)', 'Elbow (Flexion)', 'Shoulder (Flexion)', 'Hip (Extension)', 'Scapula & Clavicle (Upward Rotation)', 'Shoulder (Abduction)', 'Knee (Extension)', 'Shoulder (External Rotation)', 'Scapula & Clavicle (Elevation)']","['Spine (Thoracic, Lumbar) (Extension)']"
8,Block Clean,['Power'],['Compound'],['Pull'],"Stand over barbell on blocks with balls of feet positioned under bar pointing forward, hip width's apart or slightly wider. Squat down and grip bar with overhand grip slightly wider than shoulder width (thumbs length from ends of knurlings on Olympic bar). Position shoulders over bar with back arched tightly. Arms are straight with elbows pointed along bar.","['Pull bar up off blocks by extending hips and knees. As bar reaches knees, vigorously raise shoulders while keeping barbell close to thighs. When barbell passes mid-thigh, allow it to contact thighs. Jump upward extending body. Shrug shoulders and pull barbell upward with arms, allowing elbows to flex out to sides, keeping bar close to body. Aggressively pull body under bar, rotating elbows around bar. Catch bar on shoulders while moving into squat position. Hitting bottom of squat, stand up immediately.', 'Return', 'Bend knees slightly and lower barbell to mid-thigh position. Slowly lower bar with taut lower back and trunk close to vertical. The advanced athlete may unload (drop) bar from completed position. This technique may be practiced to reduce stress or fatigue involved in lowering bar as prescribed. Use rubber weightlifting plates on weightlifting blocks if this unloading method is used (unless block demolition is desired).']","Hook grip is used by advanced lifters to maintain grip. Do not jerk weight from floor; arise steadily then accelerate. In clean, barbell is lifted from floor to shoulders. The lift is complete when feet are in line and bar is under control. Also known as Squat Clean. Also see:","['Ankle (Plantar Flexion)', 'Elbow (Flexion)', 'Shoulder (Flexion)', 'Hip (Extension)', 'Scapula & Clavicle (Upward Rotation)', 'Shoulder (Abduction)', 'Knee (Extension)', 'Shoulder (External Rotation)', 'Scapula & Clavicle (Elevation)']","['Spine (Thoracic, Lumbar) (Extension)']"
9,Block Power Clean,['Power'],['Compound'],['Pull'],"Stand over barbell on blocks with balls of feet positioned under bar pointing forward, hip width's apart or slightly wider. Squat down and grip bar with overhand grip slightly wider than shoulder width (thumbs length from ends of knurlings on Olympic bar). Position shoulders over bar with back arched tightly. Arms are straight with elbows pointed along bar.","['Pull bar up off blocks by extending hips and knees. As bar reaches knees, vigorously raise shoulders while keeping barbell close to thighs. When barbell passes mid-thigh, allow it to contact thighs. Jump upward, extending body. Shrug shoulders and pull barbell upward with arms, allowing elbows to flex out to sides, keeping bar close to body. Aggressively pull body under bar, rotating elbows around bar. Catch bar on shoulders before knees bend lower than 90°. Stand up immediately so thighs ride no lower than parallel to floor.', 'Return', 'Bend knees slightly and lower barbell to mid-thigh position. Slowly lower bar with taut lower back and trunk close to vertical. The advanced athlete may unload (drop) bar from completed position. This technique may be practiced to reduce stress or fatigue involved in lowering bar as prescribed. Use rubber weightlifting plates on weightlifting blocks if this unloading method is used (unless block demolition is desired).']","Hook grip is used by advanced lifters to maintain grip during clean. Do not jerk weight from floor; arise steadily then accelerate. In Power Clean, barbell is lifted from floor to shoulders. The lift is complete when feet are in line and bar is under control. Also see:","['Ankle (Plantar Flexion)', 'Elbow (Flexion)', 'Shoulder (Flexion)', 'Hip (Extension)', 'Scapula & Clavicle (Upward Rotation)', 'Shoulder (Abduction)', 'Knee (Extension)', 'Shoulder (External Rotation)', 'Scapula & Clavicle (Elevation)']","['Spine (Thoracic, Lumbar) (Extension)']"
10,Block Pull,['Power'],['Compound'],['Pull'],"Stand with barbell on blocks with overhand grip slightly wider than shoulder width. Bend knees and hips so barbell touches thigh, shoulders over bar with back arched. Arms are straight with elbows pointed along bar.","['Jump upward extending body. Shrug shoulders and pull barbell upward with arms, allowing elbows to flex out to sides.', 'Return', 'Lower bar immediately by relaxing shoulders and arms. Return barbell to blocks by bending hips and knees while keeping back arched.']",,"['Ankle (Plantar Flexion)', 'Elbow (Flexion)', 'Scapula & Clavicle (Upward Rotation)', 'Hip (Extension)', 'Shoulder (Abduction)', 'Knee (Extension)', 'Shoulder (External Rotation)', 'Scapula & Clavicle (Elevation)']","['Spine (Thoracic, Lumbar) (Extension)']"
