,excercise_name,utility,mechanics,force,preparation,execution,comments,dynamic_articulation,static_articulation
0,90° Jump Turns,['Plyometric'],['Compound'],['Push'],Stand with feet shoulder width apart or slightly wider. Bend knees and hips slightly.,['Jump and turn 90°. Land in athletic position facing side direction. Immediately jump and turn 90° in opposite direction returning to starting position.'],Jump facing from front to side as fast as possible. Maintain athletic position during each land. Arms movement can assist in jumps.,"['Hip (Flexion)', 'Foot (Plantar Flexion)', 'Hip (Extension)', 'Knee (Extension)', 'Shoulder (Flexion)', 'Spine (Rotation)', 'Hip (Internal Rotation)', 'Ankle (Plantar Flexion)', 'Scapula & Clavicle (Upward Rotation)', 'Hip (External Rotation)']","['Spine (Thoracic, Lumbar) (Extension)']"
1,Ankle Hop,['Plyometric'],['Compound'],['Push'],Stand with hands on waist and feet hip-width apart.,['Jump up by rapidly extending ankles. Land on forefeet and Immediately jump up again pushing off primarily using feet with only minimal push-off through knees and hips.'],Avoid contacting ground or floor with heels.,"['Hip (Extension)', 'Knee (Extension)', 'Ankle (Plantar Flexion)']",[]
2,Box March (high),['Plyometric'],['Compound'],['Push'],Stand in front of a box or platform. Place one foot on edge of box.,['Jump and land with opposite foot on edge of box and other foot on floor. Immediately repeat.'],Move feet from floor and edge of box as fast as possible. Alternate arm position with steps. Also see Box March on low platform.,"['Hip (Flexion)', 'Hip (Extension)', 'Knee (Extension)', 'Ankle (Plantar Flexion)', 'Elbow (Extension)', 'Elbow (Flexion)']",[]
3,Box March (low),['Plyometric'],['Compound'],['Push'],Stand in front of a short box or platform. Place one foot on edge of box.,['Jump and land with opposite foot on edge of box and other foot on floor. Immediately repeat.'],Move feet from floor and edge of box as fast as possible. Alternate arm position with steps. Also see Box March on high platform.,"['Hip (Flexion)', 'Hip (Extension)', 'Knee (Extension)', 'Ankle (Plantar Flexion)', 'Elbow (Extension)', 'Elbow (Flexion)']",[]
4,180° Jump Turns,['Plyometric'],['Compound'],['Push'],Stand with feet shoulder width apart or slightly wider. Squat down slightly by bending knees and hips.,['Jump up while turning body and throwing arms up in direction of turn. Turn 180° in air. Land in athletic position facing opposite direction. Immediately jump and turn 180° in opposite direction returning to starting position.'],Maintain athletic position during each land. Arms movement can assist in jumps.,"['Hip (Flexion)', 'Foot (Plantar Flexion)', 'Hip (Extension)', 'Knee (Extension)', 'Shoulder (Flexion)', 'Spine (Rotation)', 'Hip (Internal Rotation)', 'Ankle (Plantar Flexion)', 'Scapula & Clavicle (Upward Rotation)', 'Hip (External Rotation)']","['Spine (Thoracic, Lumbar) (Extension)']"
5,Box Jump March,['Plyometric'],['Compound'],['Push'],Stand in front of a short box or platform. Place one foot on edge of box.,['Jump up high and land with opposite foot on edge of box and other foot on floor. Immediately repeat.'],None.,"['Hip (Flexion)', 'Scapula & Clavicle (Protraction)', 'Hip (Extension)', 'Knee (Extension)', 'Shoulder (Flexion)', 'Ankle (Plantar Flexion)', 'Scapula & Clavicle (Elevation)', 'Scapula & Clavicle (Upward Rotation)']","['Spine (Thoracic, Lumbar) (Extension)']"
6,Split Jump,['Plyometric'],['Compound'],['Push'],Stand with one foot forward and other foot back with knees initially bent only slightly. Dip body down by bending legs more.,['Immediately jump upward. Quickly reposition legs and land with feet in opposite positions. Immediately dip body down by bending legs just short of rear knee making contact with floor. Keep torso upright and hip of rear leg straight. Repeat sequence with opposite leg movement. Continue jumps by while alternating leg positions.'],Flexible hip flexors are required so hip of rear leg can extend back without pulling upper body forward.,"['Hip (Flexion)', 'Hip (Extension)', 'Knee (Extension)', 'Ankle (Plantar Flexion)']","['Spine (Thoracic, Lumbar) (Extension)']"
7,Squat Jump,['Plyometric'],['Compound'],['Push'],Stand with moderately wide stance with feet pointing out slightly. Place wrists together and position bent arms in front of body.,"['Squat down with knees angled outward slightly, same direction as feet. Allow bent arms to be lowered between knees. Immediately jump off ground as high as possible pushing off with forefeet while extending arms overhead. Land and lower body back into squat position. Repeat.']",Keep knees pointed same direction as feet.,"['Hip (Extension)', 'Knee (Extension)', 'Shoulder (Flexion)', 'Ankle (Plantar Flexion)', 'Scapula & Clavicle (Elevation)', 'Shoulder (Abduction)', 'Scapula & Clavicle (Upward Rotation)']","['Spine (Thoracic, Lumbar) (Extension)']"
8,360° Jump Turn,['Plyometric'],['Compound'],['Push'],Stand with feet shoulder width apart or slightly wider. Squat down by bending knees and hips. Pull arms back.,"['Jump up while turning body and throwing arms up and in direction of turn. As body travels upward, pull arm away from direction of turn toward other shoulder. Temporarily cross legs and turn 360° through air. Land in squat position with arms forward and stand. Repeat movment in opposite direction.', 'Alternative method is to squat down positioning bent right arm under shoulders while left arm is pulled back. Pull left arm forward and right arm back while jumping up. Tuck bent arms toward waist while turning clockwise 360° through air. Alternatively, 360° Jump Turns can be performed with successive jumps.']","Alternative method is to squat down positioning bent right arm under shoulders while left arm is pulled back. Pull left arm forward and right arm back while jumping up. Tuck bent arms toward waist while turning clockwise 360° through air. Alternatively, 360° Jump Turns can be performed with successive jumps.","['Hip (Flexion)', 'Foot (Plantar Flexion)', 'Shoulder (Transverse Extension / Extension (alternative form))', 'Hip (Extension)', 'Shoulder (Transverse Flexion (shown form))', 'Knee (Extension)', 'Shoulder (Flexion)', 'Spine (Rotation)', 'Scapula & Clavicle (Protraction (shown form))', 'Hip (Internal Rotation)', 'Ankle (Plantar Flexion)', 'Scapula & Clavicle (Retraction / Downward Rotation (alternative form))', 'Scapula & Clavicle (Upward Rotation)', 'Hip (External Rotation)']","['Spine (Thoracic, Lumbar) (Extension)']"
9,Barrier Speed Hop,['Plyometric'],['Compound'],['Push'],Stand facing series of barriers spaced equal distance apart. Lean forward and bend arms to sides.,"['Hop over first barrier using both feet. Land on forefeet, allowing heel to make contact or come near ground. Immediately hop over each successive barrier.']","Jump using both legs and forefeet to absorb impact and push-off quickly between each jump. Intensity can be increased by hoping faster, increase height of barriers, or spacing barriers further apart. Also known as Double Leg Barrier Speed Hops.","['Hip (Flexion)', 'Foot (Plantar Flexion)', 'Hip (Extension)', 'Knee (Flexion)', 'Knee (Extension)', 'Shoulder (Flexion)', 'Ankle (Plantar Flexion)', 'Scapula & Clavicle (Elevation)', 'Shoulder (Abduction)', 'Scapula & Clavicle (Upward Rotation)']","['Spine (Thoracic, Lumbar) (Flexion)']"
