,excercise_name,utility,mechanics,force,preparation,execution,comments,target_muscles,synergist_muscles,stabalizer_muscles,dynamic_stabilizer_muscles
0,Barbell Push Crunch,['Auxiliary'],['Isolated'],['Push'],Position feet under foot pad and lie supine on steep incline bench. Pull barbell from floor or grasp from rack behind with overhand grip. Position barbell over chest with shoulder width or slightly wider grip.,"Flex waist to raise upper torso from bench, keeping low back on bench. Return until back of shoulders contact padded incline board. Repeat.","Keep weight above shoulders throughout movement. A standard incline crunch without additional weight should be performed until greater resistance is required. Incline bench shown is designed for chest exercises, not abdominal exercise. Flexible hip flexors are required if bench does not provide for fixed hip flexion. A relatively steep incline is required to adequately position abdominal against load throughout fuller range of motion. See Spot Reduction Myth.",['Rectus Abdominis'],['Obliques'],"['Pectoralis Major, Sternal', 'Pectoralis Major, Clavicular', 'Pectoralis Minor', 'Serratus Anterior', 'Triceps Brachii']",[]
1,Barbell Push Sit-up,['Basic'],['Compound'],['Push'],Position feet under foot pad and lie supine on flat or incline bench. Pull barbell from floor or grasp from rack behind with overhand grip. Position barbell over chest with shoulder width or slightly wider grip.,"Raise torso from bench as high as possible by bending waist and hips. Keep weight positioned above shoulders. Achieve near upright posture (hip flexibility, incline, and initial hip position permitting). Return to original lying posture with back of shoulders contacting padded incline board. Repeat.","Keep weight above shoulders throughout movement. Incline can also be elevated to increase resistance. If upper back does not come completely down at end of movement, abdominal muscles may only be isometrically involved in exercise.",['Rectus Abdominis'],"['Iliopsoas', 'Tensor Fasciae Latae', 'Rectus Femoris', 'Sartorius', 'Obliques']","['Tibialis Anterior', 'Pectoralis Major, Sternal', 'Pectoralis Major, Clavicular', 'Deltoid, Anterior', 'Deltoid, Lateral', 'Pectoralis Minor', 'Serratus Anterior', 'Triceps Brachii']",[]
2,Cable Lying Crunch (on stability ball),['Auxiliary'],['Isolated'],['Pull'],"Sit on stability ball against low pulley column. Roll back away from low pulley column, so back is on ball. Reach back and grasp cable rope attachment with both hands and place inside of wrists on sides of head. Allow weight to hyperextend lower back against stability ball.","With hips stationary, flex waist so elbows travel toward thighs. Return and repeat.",See Spot Reduction Myth. Certain individuals may need to keep their neck in neutral position with space between their chin and sternum. Some individuals may experience low back discomfort if hips are not bent so they must use smaller ball size or lower their hip position on ball.,['Rectus Abdominis'],['Obliques'],"['Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Triceps, Long Head', 'Rhomboids', 'Trapezius, Lower', 'Pectoralis Major, Sternal', 'Pectoralis Major, Clavicular', 'Pectoralis Minor', 'Serratus Anterior']",[]
3,Cable Lying Leg-Hip Raise,['Basic'],['Compound'],['Pull'],"Attach cable ankle straps to both ankles then attach ankle straps to cable. Lie supine on floor or mat, back far enough so cable is taut. Grasp support behind head.","Raise legs by flexing hips while flexing knees until hips are fully flexed. Raise hips from floor by flexing waist. Return until waist, hips and knees are extended downward. Repeat.","Movement can also be performed on bench. Rectus Abdominis and Obliques only contract dynamically if actual waist flexion occurs. With no waist flexion, Rectus Abdominis and External Oblique will only act to stabilize pelvis and waist during hip flexion. It may be necessary to completely flex hips before waist flexion is possible. See Spot Reduction Myth and Lower Ab Myth. Also see Cable Lying Leg Raise.",['Rectus Abdominis'],"['Iliopsoas', 'Tensor Fasciae Latae', 'Pectineus', 'Sartorius', 'Adductor Longus', 'Adductor Brevis', 'Obliques']",[],[]
4,Cable Lying Leg-Hip Raise (on bench),['Basic'],['Compound'],['Pull'],"Attach cable ankle straps to both ankles, then attach ankle straps to cable. Lie supine on floor or mat, back far enough so cable is taut. Grasp support behind head.",Raise legs by flexing hips while flexing knees until hips are fully flexed. Raise hips from floor by flexing waist. Return until legs are extended horizontally. Repeat.,"Training partner or trainer may need to assist attaching ankle cuffs to cable. Ankle cuffs may also be attached to cable pulley in lowest position when feet are on floor, but assistance may be needed to raise pulley to bench height. Cable Lying Leg Raise on floor is easier to set up.",['Rectus Abdominis'],"['Iliopsoas', 'Tensor Fasciae Latae', 'Pectineus', 'Sartorius', 'Adductor Longus', 'Adductor Brevis', 'Obliques']",[],[]
5,Cable Lying Straight Leg-Hip Raise,['Basic'],['Compound'],['Pull'],"Attach cable ankle straps to both ankles, then attach ankle straps to cable. Lie supine on floor or mat, back far enough so cable is taut. Grasp support behind head.",Raise legs by flexing hips until fully flexed. Raise hips from floor by flexing waist. Return until waist and hips are extended downward. Repeat.,"Rectus Abdominis and Obliques only contract dynamically if actual waist flexion occurs. With no waist flexion, Rectus Abdominis and External Oblique will only act to stabilize pelvis and waist during hip flexion. Waist flexion will occur earlier in lift if legs are straighter or Hamstrings are not that flexible. See Spot Reduction Myth and Lower Ab Myth. Also see Cable Lying Straight Leg Raise.",['Rectus Abdominis'],"['Iliopsoas', 'Tensor Fasciae Latae', 'Sartorius', 'Pectineus', 'Adductor Longus', 'Adductor Brevis', 'Rectus Femoris', 'Obliques']",[],[]
6,Cable Kneeling Crunch,['Auxiliary'],['Isolated'],['Pull'],"Kneel below high pulley. Grasp cable rope attachment with both hands. Place wrists against head. Position hips back and flex hips, allowing resistance on cable pulley to lift torso upward so spine is hyperextended.","With hips stationary, flex waist so elbows travel toward middle of thighs. Return and repeat.","Note movement occurs in waist, not hips. See Spot Reduction Myth. Hyperextension of spine at top of motion is achieved by anterior rotation of pelvis with flexed hips.",['Rectus Abdominis'],['Obliques'],"['Iliopsoas', 'Tensor Fasciae Latae', 'Rectus Femoris', 'Sartorius', 'Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Triceps, Long Head', 'Rhomboids', 'Trapezius, Lower', 'Pectoralis Major, Sternal', 'Pectoralis Major, Clavicular', 'Pectoralis Minor', 'Serratus Anterior']",[]
7,Cable Seated Crunch,['Auxiliary'],['Isolated'],['Pull'],Seat with back support away from medium high pulley. Grasp cable rope attachment with both hands and place securely over both shoulders. Allow weight to lift chest up with spine arched back slightly.,"With hips stationary, flex waist so elbows travel toward hips. Return and repeat.",See Spot Reduction Myth. Also see movement performed on dedicated apparatus or plate loaded apparatus.,['Rectus Abdominis'],['Obliques'],['No significant stabilizers'],[]
8,Cable Overhead Seated Crunch,['Auxiliary'],['Isolated'],['Pull'],"Sit on bench or seat below two very close high pulleys. Grasp two separate cable stirrups, one with each hand. Pull stirrups down with palms facing back over each shoulder. Holding arms in place, allow weight to pull torso up, hyperextend lower back slightly.","With arms fixed in place, flex waist so shoulders travel forward and downward toward thighs. Return until chest is high and back is hyperextended. Repeat.",Keep arms fixed in position keeping them close to body throughout movement. See Spot Reduction Myth.,['Rectus Abdominis'],['Obliques'],"['Latissimus Dorsi', 'Deltoid, Posterior', 'Rhomboids', 'Teres Major', 'Pectoralis Minor']",[]
9,Cable Seated Crunch (plate loaded),['Auxiliary'],['Isolated'],['Pull'],Sit on apparatus with back on back support. Grasp cable rope attachment with both hands and place securely over both shoulders. Allow weight to lift chest up with spine arched back slightly.,"With hips stationary, flex waist small of back pushes into back of seat as upper back travels forward. Return and repeat.",See Spot Reduction Myth. Also see movement performed on selectorized apparatus.,['Rectus Abdominis'],['Obliques'],['No significant stabilizers'],[]
